League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-11-27 10:25:56,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-109.88,-109.88,142.67,-173.0,-110.25,-109.75,East,Southeast,East,Central,-108,-112,138,-164,-112,-108,-114,-112,123,-155,-113,-113,-112,-108,150,-180,-110,-110,-110,-110,145,-179,-110,-110,-105,-115,150,-175,-110,-110,-112.0,-108.0,,,-110.0,-110.0,-108.0,-104.0,,,-107.0,-107.0,-110,-110,150,-185,-110,-110
NBA,2025-11-27 10:25:56,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-107.75,-112.0,225.0,-282.33,-110.12,-109.62,East,Atlantic,East,Atlantic,-110,-110,220,-270,-110,-110,-109,-117,250,-335,-114,-110,-102,-118,225,-278,-110,-110,-110,-110,205,-256,-110,-110,-110,-110,230,-280,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-105,-115,220,-275,-110,-110
NBA,2025-11-27 10:25:56,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-110.62,-109.0,128.67,-156.17,-109.88,-110.12,East,Southeast,East,Central,-114,-106,130,-154,-110,-110,-115,-110,120,-152,-112,-114,-110,-110,130,-155,-110,-110,-110,-110,132,-161,-110,-110,-110,-110,135,-160,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110,-110,125,-155,-110,-110
NBA,2025-11-27 10:25:56,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-108.25,-111.5,-210.5,172.17,-109.88,-110.12,East,Central,East,Southeast,-106,-114,-188,158,-108,-112,-109,-117,-205,163,-112,-114,-110,-110,-218,180,-112,-108,-110,-110,-222,177,-110,-110,-105,-115,-210,175,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110,-110,-220,180,-110,-110
NBA,2025-11-27 10:25:56,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-109.5,-110.25,-256.0,207.17,-111.62,-108.12,East,Central,East,Southeast,-106,-114,-230,190,-112,-108,-114,-112,-250,200,-114,-110,-110,-110,-265,215,-115,-105,-110,-110,-256,203,-110,-110,-110,-110,-260,215,-110,-110,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,-110,-110,-275,220,-115,-105
NBA,2025-11-27 10:25:56,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-111.0,-108.75,-299.83,239.33,-110.12,-109.88,East,Atlantic,East,Central,-110,-110,-280,230,-112,-108,-114,-112,-295,225,-112,-114,-112,-108,-310,250,-115,-105,-110,-110,-294,231,-110,-110,-110,-110,-320,260,-110,-110,-113.0,-107.0,,,-110.0,-110.0,-109.0,-103.0,,,-107.0,-107.0,-110,-110,-300,240,-105,-115
NBA,2025-11-27 10:25:56,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-107.88,-111.88,-462.67,346.33,-111.25,-108.75,West,Northwest,West,Southwest,-110,-110,-390,310,-114,-106,-117,-109,-530,380,-112,-114,-105,-115,-470,360,-112,-108,-110,-110,-476,343,-110,-110,-110,-110,-435,325,-110,-110,-105.0,-115.0,,,-110.0,-110.0,-101.0,-111.0,,,-107.0,-107.0,-105,-115,-475,360,-115,-105
NBA,2025-11-27 10:25:56,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.5,-110.0,-1060.0,658.17,-110.67,-110.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,-110,-114,-910,550,-114,-112,-110,-110,-1050,675,-115,-105,-110,-110,-1000,624,-110,-110,-110,-110,-1100,650,-110,-110,-110.0,-110.0,,,,,-106.0,-106.0,,,,,-110,-110,-1100,700,-105,-115
NBA,2025-11-27 10:25:56,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-83.88,-110.75,-114.83,-105.5,-110.5,-110.5,West,Northwest,West,Pacific,-110,-110,-116,-102,-110,-110,-112,-113,-115,-108,-113,-113,-110,-110,-110,-110,-110,-110,-110,-110,-120,-101,-110,-110,100,-120,-110,-110,-110,-110,-114.0,-106.0,,,,,-110.0,-102.0,,,,,-105,-115,-118,-102,-110,-110
NBA,2025-11-27 10:25:56,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-109.33,-111.5,-469.33,350.17,-109.83,-111.17,West,Pacific,West,Southwest,-106,-114,-420,330,-112,-108,-110,-115,-455,335,-112,-114,-110,-110,-455,350,-110,-110,-110,-110,-526,371,-110,-110,-110,-110,-460,340,-105,-115,,,,,,,,,,,,,-110,-110,-500,375,-110,-110
