League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-01 13:40:29,2025-12-01 19:00,Washington Wizards,Milwaukee Bucks,No,637.0,Yes,-109.33,-110.44,326.11,-425.56,-110.11,-109.89,East,Southeast,East,Central,-108,-112,320,-410,-110,-110,-109.0,-103.0,332.0,-410.0,-107.0,-107.0,-113.0,-107.0,327.0,-415.0,-110.0,-110.0,-110,-110,330,-420,-110,-110,-110.0,-110.0,318.0,-435.0,-110.0,-110.0,-105.0,-115.0,333.0,-450.0,-110.0,-110.0,-110.0,-110.0,325.0,-435.0,-110.0,-110.0,-109,-117,320,-435,-114,-112,-110.0,-110.0,330.0,-420.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 19:10,Detroit Pistons,Atlanta Hawks,No,596.5,Yes,-108.33,-111.44,-426.0,327.11,-110.33,-109.89,East,Central,East,Southeast,-105,-115,-440,340,-105,-115,-106.0,-106.0,-405.0,329.0,-107.0,-107.0,-110.0,-110.0,-410.0,324.0,-110.0,-110.0,-104,-118,-430,340,-118,-104,-110.0,-110.0,-459.0,331.0,-110.0,-110.0,-110.0,-110.0,-450.0,340.0,-110.0,-110.0,-110.0,-110.0,-430.0,320.0,-110.0,-110.0,-110,-114,-400,295,-113,-113,-110.0,-110.0,-410.0,325.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 19:10,Indiana Pacers,Cleveland Cavaliers,Yes,263.5,Yes,-110.67,-109.0,190.0,-230.78,-109.11,-110.89,East,Central,East,Central,-115,-105,180,-218,-108,-112,-106.0,-106.0,188.0,-219.0,-107.0,-107.0,-110.0,-110.0,186.0,-220.0,-110.0,-110.0,-110,-110,184,-220,-110,-110,-110.0,-110.0,207.0,-265.0,-110.0,-110.0,-110.0,-110.0,185.0,-225.0,-105.0,-115.0,-110.0,-110.0,190.0,-230.0,-110.0,-110.0,-115,-110,195,-250,-112,-114,-110.0,-110.0,195.0,-230.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 19:30,Miami Heat,Los Angeles Clippers,No,2344.1,Yes,-108.67,-111.11,-245.33,200.67,-108.56,-111.56,East,Southeast,West,Pacific,-102,-118,-245,200,-108,-112,-106.0,-106.0,-238.0,202.0,-102.0,-113.0,-110.0,-110.0,-240.0,200.0,-105.0,-115.0,-112,-108,-245,200,-108,-112,-110.0,-110.0,-255.0,201.0,-110.0,-110.0,-105.0,-115.0,-250.0,200.0,-110.0,-110.0,-110.0,-110.0,-245.0,205.0,-110.0,-110.0,-113,-113,-250,195,-114,-112,-110.0,-110.0,-240.0,203.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 19:40,Brooklyn Nets,Charlotte Hornets,No,530.9,Yes,-109.56,-110.11,157.67,-187.78,-111.89,-108.22,East,Atlantic,East,Southeast,-110,-110,160,-192,-112,-108,-106.0,-106.0,162.0,-185.0,-113.0,-102.0,-110.0,-110.0,161.0,-185.0,-110.0,-110.0,-110,-110,158,-188,-110,-110,-110.0,-110.0,156.0,-194.0,-110.0,-110.0,-110.0,-110.0,155.0,-190.0,-115.0,-105.0,-110.0,-110.0,160.0,-185.0,-115.0,-105.0,-110,-115,148,-186,-112,-114,-110.0,-110.0,159.0,-185.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 19:40,Orlando Magic,Chicago Bulls,No,985.5,Yes,-111.22,-108.56,-378.67,295.22,-109.78,-110.22,East,Southeast,East,Central,-112,-108,-360,285,-105,-115,-106.0,-106.0,-371.0,304.0,-107.0,-107.0,-110.0,-110.0,-375.0,299.0,-110.0,-110.0,-114,-106,-400,315,-108,-112,-110.0,-110.0,-377.0,289.0,-110.0,-110.0,-115.0,-105.0,-375.0,290.0,-115.0,-105.0,-115.0,-105.0,-390.0,295.0,-110.0,-110.0,-109,-117,-385,280,-113,-113,-110.0,-110.0,-375.0,300.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 21:10,Denver Nuggets,Dallas Mavericks,No,662.5,Yes,-108.67,-111.11,-565.67,413.78,-111.11,-109.0,West,Northwest,West,Southwest,-105,-115,-520,390,-110,-110,-101.0,-111.0,-552.0,430.0,-113.0,-102.0,-105.0,-115.0,-560.0,421.0,-115.0,-105.0,-114,-106,-590,440,-110,-110,-110.0,-110.0,-594.0,413.0,-110.0,-110.0,-105.0,-115.0,-550.0,400.0,-110.0,-110.0,-115.0,-105.0,-575.0,400.0,-110.0,-110.0,-113,-113,-590,400,-112,-114,-110.0,-110.0,-560.0,430.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 21:10,Utah Jazz,Houston Rockets,No,1201.1,Yes,-112.11,-107.56,469.0,-655.0,-109.89,-110.11,West,Northwest,West,Southwest,-115,-105,470,-650,-108,-112,-104.0,-108.0,483.0,-634.0,-107.0,-107.0,-108.0,-112.0,472.0,-645.0,-110.0,-110.0,-114,-106,480,-650,-110,-110,-110.0,-110.0,476.0,-721.0,-110.0,-110.0,-118.0,-102.0,475.0,-650.0,-110.0,-110.0,-115.0,-105.0,460.0,-675.0,-110.0,-110.0,-115,-110,430,-625,-114,-112,-110.0,-110.0,475.0,-645.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-01 22:10,Los Angeles Lakers,Phoenix Suns,Yes,359.1,Yes,-111.56,-108.11,-195.22,163.44,-109.11,-110.89,West,Pacific,West,Pacific,-115,-105,-198,164,-105,-115,-108.0,-104.0,-190.0,166.0,-104.0,-110.0,-112.0,-108.0,-190.0,165.0,-107.0,-113.0,-114,-106,-198,166,-114,-106,-110.0,-110.0,-196.0,157.0,-110.0,-110.0,-115.0,-105.0,-200.0,165.0,-110.0,-110.0,-110.0,-110.0,-200.0,170.0,-110.0,-110.0,-110,-115,-195,155,-112,-114,-110.0,-110.0,-190.0,163.0,-110.0,-110.0
NBA,2025-12-01 13:40:29,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.67,-111.67,-210.0,172.0,-111.0,-111.0,East,Southeast,East,Southeast,-105,-115,-205,170,-110,-110,,,,,,,,,,,,,-114,-106,-210,176,-110,-110,,,,,,,,,,,,,,,,,,,-110,-114,-215,170,-113,-113,,,,,,
