League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-19 20:52:40,2025-11-19 19:10,Indiana Pacers,Charlotte Hornets,No,428.0,Yes,-122.67,-78.5,-43333.33,3266.67,-83.67,-115.5,East,Central,East,Southeast,-120.0,-110.0,-100000.0,4000.0,-120.0,-110.0,-154,110,,,100,-133,-125,-106,-20000,2500,-112,-118,-122,-120,,,-125,-117,-110.0,-120.0,,,-120.0,-110.0,-105.0,-125.0,-10000.0,3300.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 19:12,Philadelphia 76ers,Toronto Raptors,Yes,337.5,Yes,-118.83,-114.0,851.0,-1970.0,-115.33,-116.5,East,Atlantic,East,Atlantic,-115.0,-115.0,1000.0,-2100.0,-110.0,-120.0,-118,-118,650.0,-1250.0,-111,-118,-128,-104,830,-2000,-110,-120,-127,-114,,,-121,-121,-115.0,-115.0,900.0,-2000.0,-115.0,-115.0,-110.0,-118.0,875.0,-2500.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 19:13,Cleveland Cavaliers,Houston Rockets,No,1114.4,Yes,-116.0,-116.67,494.17,-828.83,-115.17,-116.33,East,Central,West,Southwest,-115.0,-115.0,520.0,-850.0,-115.0,-115.0,-125,-111,525.0,-833.0,-111,-118,-114,-114,560,-1000,-110,-120,-127,-115,360.0,-590.0,-122,-120,-110.0,-120.0,550.0,-1000.0,-115.0,-115.0,-105.0,-125.0,450.0,-700.0,-118.0,-110.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 19:40,Miami Heat,Golden State Warriors,No,2592.8,Yes,-110.17,-120.33,-488.33,328.33,-115.67,-114.83,East,Southeast,West,Pacific,-105.0,-125.0,-560.0,370.0,-110.0,-120.0,-105,-118,-500.0,335.0,-118,-105,-114,-114,-460,320,-114,-114,-117,-125,-435.0,285.0,-122,-120,-115.0,-115.0,-525.0,340.0,-115.0,-115.0,-105.0,-125.0,-450.0,320.0,-115.0,-115.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 20:10,New Orleans Pelicans,Denver Nuggets,No,1081.8,Yes,-114.83,-116.67,299.17,-437.5,-116.17,-115.0,West,Southwest,West,Northwest,-115.0,-115.0,310.0,-445.0,-120.0,-110.0,-118,-111,310.0,-455.0,-118,-111,-114,-114,320,-460,-114,-114,-122,-120,285.0,-455.0,-120,-122,-115.0,-115.0,280.0,-410.0,-115.0,-115.0,-105.0,-125.0,290.0,-400.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 20:10,Oklahoma City Thunder,Sacramento Kings,No,1339.6,Yes,-116.33,-114.17,-3200.0,1033.33,-113.17,-118.5,West,Northwest,West,Pacific,-125.0,-105.0,-3200.0,1300.0,-110.0,-120.0,-118,-105,-2500.0,900.0,-105,-125,-108,-122,-3000,1000,-118,-112,-122,-120,-5000.0,950.0,-121,-121,-115.0,-115.0,-2500.0,1000.0,-115.0,-115.0,-110.0,-118.0,-3000.0,1050.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 20:10,Minnesota Timberwolves,Washington Wizards,No,934.6,Yes,-115.17,-115.83,-53333.33,3433.33,-115.33,-115.0,West,Northwest,East,Southeast,-115.0,-115.0,-100000.0,4000.0,-115.0,-115.0,-118,-111,,,-111,-111,-112,-118,-50000,3000,-120,-110,-121,-121,,,-121,-121,-115.0,-115.0,,,-115.0,-115.0,-110.0,-115.0,-10000.0,3300.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2025-11-19 20:52:40,2025-11-19 21:30,Dallas Mavericks,New York Knicks,No,1374.4,Yes,-109.78,-110.0,271.56,-343.78,-111.33,-108.67,West,Southwest,East,Atlantic,-118.0,-102.0,270.0,-340.0,-108.0,-112.0,-110,-110,255.0,-333.0,-110,-110,-112,-108,280,-350,-108,-112,-112,-114,265.0,-360.0,-113,-113,-105.0,-115.0,280.0,-360.0,-110.0,-110.0,-115.0,-105.0,260.0,-325.0,-115.0,-105.0,-105.0,-115.0,270.0,-335.0,-113.0,-107.0,-101.0,-111.0,274.0,-331.0,-110.0,-104.0,-110.0,-110.0,290.0,-360.0,-115.0,-105.0
NBA,2025-11-19 20:52:40,2025-11-19 22:10,Portland Trail Blazers,Chicago Bulls,No,1756.4,Yes,-110.44,-109.11,137.67,-164.11,-109.33,-110.67,West,Northwest,East,Central,-110.0,-110.0,140.0,-166.0,-112.0,-108.0,-110,-110,144.0,-178.0,-110,-110,-110,-110,128,-152,-106,-114,-114,-110,138.0,-175.0,-114,-112,-110.0,-110.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,135.0,-165.0,-105.0,-115.0,-112.0,-108.0,138.0,-158.0,-110.0,-110.0,-108.0,-104.0,139.0,-158.0,-107.0,-107.0,-110.0,-110.0,142.0,-165.0,-110.0,-110.0
NBA,2025-11-19 20:52:40,2025-11-20 19:10,Orlando Magic,Los Angeles Clippers,No,2206.9,Yes,-109.67,-110.0,-218.75,178.25,-110.0,-110.0,East,Southeast,West,Pacific,-105.0,-115.0,-238.0,195.0,-110.0,-110.0,-110,-110,-217.0,175.0,-110,-110,-114,-106,-215,180,-110,-110,-113,-113,-205.0,163.0,-113,-113,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
NBA,2025-11-19 20:52:40,2025-11-20 20:10,San Antonio Spurs,Atlanta Hawks,No,879.2,Yes,-109.8,-109.6,-122.67,101.33,-110.2,-109.4,West,Southwest,East,Southeast,,,,,,,-110,-110,-122.0,100.0,-110,-110,-110,-110,-122,104,-110,-110,-113,-112,-124.0,100.0,-114,-110,,,,,,,,,,,,,-110.0,-110.0,,,-110.0,-110.0,-106.0,-106.0,,,-107.0,-107.0,,,,,,
