League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-07 04:23:26,2025-12-07 12:10,New York Knicks,Orlando Magic,No,940.3,No,-109.89,-109.89,-166.0,140.11,-112.11,-108.0,East,Atlantic,East,Southeast,-112,-108,-176,148,-110,-110,-110.0,-110.0,-161.0,131.0,-110.0,-110.0,-110,-110,-162,136,-108,-112,-112,-114,-175,138,-113,-113,-108.0,-104.0,-165.0,146.0,-113.0,-102.0,-112.0,-108.0,-165.0,145.0,-115.0,-105.0,-110.0,-110.0,-160.0,135.0,-115.0,-105.0,-105.0,-115.0,-165.0,140.0,-110.0,-110.0,-110.0,-110.0,-165.0,142.0,-115.0,-105.0
NBA,2025-12-07 04:23:26,2025-12-07 15:40,Toronto Raptors,Boston Celtics,Yes,430.3,No,-107.89,-111.89,119.44,-141.33,-110.22,-109.78,East,Atlantic,East,Atlantic,-110,-110,118,-138,-106,-114,-110.0,-110.0,115.0,-141.0,-110.0,-110.0,-108,-112,120,-142,-110,-110,-112,-114,115,-143,-114,-112,-101.0,-111.0,122.0,-138.0,-107.0,-107.0,-105.0,-115.0,120.0,-140.0,-115.0,-105.0,-105.0,-115.0,120.0,-145.0,-110.0,-110.0,-115.0,-105.0,125.0,-145.0,-110.0,-110.0,-105.0,-115.0,120.0,-140.0,-110.0,-110.0
NBA,2025-12-07 04:23:26,2025-12-07 18:10,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-111.11,-86.33,370.22,-489.89,-110.56,-109.44,East,Southeast,West,Northwest,-114,-106,360,-460,-110,-110,-110.0,-110.0,368.0,-500.0,-110.0,-110.0,-120,100,370,-485,-115,-105,-110,-115,360,-500,-113,-113,-106.0,-106.0,370.0,-464.0,-107.0,-107.0,-110.0,-110.0,364.0,-470.0,-110.0,-110.0,-110.0,-110.0,400.0,-550.0,-110.0,-110.0,-110.0,-110.0,370.0,-510.0,-110.0,-110.0,-110.0,-110.0,370.0,-470.0,-110.0,-110.0
NBA,2025-12-07 04:23:26,2025-12-07 18:10,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-110.0,-109.67,-117.67,-35.67,-108.33,-111.78,West,Southwest,West,Northwest,-110,-110,-116,-102,-110,-110,-110.0,-110.0,-118.0,-104.0,-110.0,-110.0,-105,-115,-115,-105,-110,-110,-113,-112,-118,-106,-113,-113,-109.0,-103.0,-116.0,100.0,-102.0,-113.0,-113.0,-107.0,-118.0,-102.0,-105.0,-115.0,-105.0,-115.0,-118.0,-102.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-115.0,-105.0,-120.0,100.0,-105.0,-115.0
NBA,2025-12-07 04:23:26,2025-12-07 19:10,Chicago Bulls,Golden State Warriors,No,1855.4,Yes,-114.86,-47.71,-105.0,-114.86,-110.0,-110.0,East,Central,West,Pacific,-110,-110,-102,-116,-108,-112,,,,,,,-120,100,-110,-110,-112,-108,-113,-113,-105,-120,-113,-113,-111.0,-101.0,-103.0,-113.0,-107.0,-107.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-120.0,100.0,-105.0,-115.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,,,,,,
NBA,2025-12-07 04:23:26,2025-12-07 19:40,Philadelphia 76ers,Los Angeles Lakers,No,2394.9,Yes,-110.44,-109.22,144.44,-171.22,-110.0,-110.0,East,Atlantic,West,Pacific,-110,-110,138,-164,-110,-110,-110.0,-110.0,142.0,-175.0,-110.0,-110.0,-115,-105,145,-175,-110,-110,-113,-112,135,-167,-113,-113,-106.0,-106.0,150.0,-170.0,-107.0,-107.0,-110.0,-110.0,149.0,-170.0,-110.0,-110.0,-115.0,-105.0,145.0,-175.0,-110.0,-110.0,-105.0,-115.0,150.0,-175.0,-110.0,-110.0,-110.0,-110.0,146.0,-170.0,-110.0,-110.0
NBA,2025-12-07 04:23:26,2025-12-07 20:10,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-112.56,-107.22,362.67,-479.33,-109.78,-110.22,West,Northwest,West,Northwest,-114,-106,360,-460,-106,-114,-110.0,-110.0,359.0,-500.0,-110.0,-110.0,-115,-105,360,-470,-112,-108,-113,-113,340,-480,-113,-113,-111.0,-101.0,377.0,-474.0,-107.0,-107.0,-115.0,-105.0,370.0,-480.0,-110.0,-110.0,-110.0,-110.0,375.0,-500.0,-110.0,-110.0,-110.0,-110.0,345.0,-470.0,-110.0,-110.0,-115.0,-105.0,378.0,-480.0,-110.0,-110.0
NBA,2025-12-07 04:23:26,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-218.33,178.67,-113.0,-109.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-115,-105,-230,190,-115,-105,-110,-115,-215,170,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 04:23:26,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,-115,-105,124,-148,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 04:23:26,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
