League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2025-12-09 01:39:06,2025-12-09 18:10,Orlando Magic,Miami Heat,Yes,203.7,No,-64.22,-111.0,-11.89,-119.11,-109.44,-110.56,East,Southeast,East,Southeast,-112,-108,-102,-118,-108,-112,-114,-106,100,-118,-108,-112,-117,-108,-110,-112,-112,-114,-115,-105,-102,-118,-110,-110,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,102.0,-114.0,105.0,-121.0,-107.0,-107.0,-102.0,-118.0,103.0,-123.0,-110.0,-110.0,100.0,-120.0,105.0,-125.0,-110.0,-110.0,-110.0,-110.0,-101.0,-122.0,-110.0,-110.0
NBA,2025-12-09 01:39:06,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-108.22,-111.44,157.67,-188.0,-110.33,-109.56,East,Atlantic,East,Atlantic,-115,-105,154,-185,-112,-108,-110,-110,158,-188,-114,-106,-113,-112,155,-200,-110,-115,-110,-110,155,-190,-110,-110,-105.0,-115.0,160.0,-185.0,-110.0,-110.0,-101.0,-111.0,164.0,-187.0,-107.0,-107.0,-105.0,-115.0,163.0,-187.0,-110.0,-110.0,-105.0,-115.0,159.0,-185.0,-110.0,-110.0,-110.0,-110.0,151.0,-185.0,-110.0,-110.0
NBA,2025-12-09 01:39:06,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.25,-109.0,-1420.0,792.5,-110.75,-110.75,West,Northwest,West,Pacific,-115,-105,-1350,800,-110,-110,-114,-106,-1500,870,-110,-110,-110,-115,-1430,700,-113,-113,-110,-110,-1400,800,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-09 01:39:06,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-110.0,-111.0,-185.75,152.0,-111.5,-110.0,West,Pacific,West,Southwest,-110,-110,-185,154,-110,-110,-110,-110,-178,150,-114,-106,-110,-114,-190,150,-112,-114,-110,-110,-190,154,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
