League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-09 21:02:08,2026-01-09 19:11,Boston Celtics,Toronto Raptors,Yes,430.3,Yes,-116.0,-114.75,-2095.6,840.0,-114.75,-114.75,East,Atlantic,East,Atlantic,-120,-110,-4000,1100,-106,-125,-111.0,-118.0,-1111.0,600.0,-118.0,-111.0,-120.0,-110.0,-2100.0,1000.0,-125.0,-105.0,-113.0,-121.0,-1667.0,750.0,,,,,-1600.0,750.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-09 21:02:08,2026-01-09 19:11,Orlando Magic,Philadelphia 76ers,No,859.5,Yes,-111.6,-119.2,588.0,-1069.6,-110.75,-119.5,East,Southeast,East,Atlantic,-120,-110,540,-950,-102,-130,-105.0,-125.0,525.0,-833.0,-111.0,-118.0,-105.0,-125.0,600.0,-1050.0,-125.0,-105.0,-113.0,-121.0,575.0,-1115.0,,,-115.0,-115.0,700.0,-1400.0,-105.0,-125.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-09 21:02:08,2026-01-09 19:12,Washington Wizards,New Orleans Pelicans,No,966.2,Yes,-120.4,-72.0,1168.75,-3925.0,-57.0,-123.5,East,Southeast,West,Southwest,-146,110,1300,-5000,102,-136,-111.0,-125.0,975.0,-2500.0,-105.0,-125.0,-120.0,-110.0,1300.0,-3200.0,-115.0,-115.0,-115.0,-117.0,,,,,-110.0,-118.0,1100.0,-5000.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-09 21:02:08,2026-01-09 19:41,Brooklyn Nets,Los Angeles Clippers,No,2461.0,Yes,-122.6,-107.2,558.0,-976.6,-116.0,-112.0,East,Atlantic,West,Pacific,-128,-104,600,-1100,-118,-112,-118.0,-105.0,525.0,-833.0,-111.0,-111.0,-120.0,-110.0,600.0,-1050.0,-110.0,-120.0,-122.0,-112.0,540.0,-1000.0,,,-125.0,-105.0,525.0,-900.0,-125.0,-105.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-09 21:02:08,2026-01-09 20:11,Memphis Grizzlies,Oklahoma City Thunder,No,422.4,Yes,-74.4,-75.6,-292.2,217.0,-56.25,-125.5,West,Southwest,West,Northwest,104,-138,-290,215,-110,-120,-125.0,100.0,-333.0,245.0,115.0,-154.0,-115.0,-115.0,-298.0,220.0,-120.0,-110.0,-118.0,-115.0,-265.0,195.0,,,-118.0,-110.0,-275.0,210.0,-110.0,-118.0,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-09 21:02:08,2026-01-09 21:10,Denver Nuggets,Atlanta Hawks,No,1212.6,Yes,-109.78,-109.89,124.89,-148.0,-107.0,-112.38,West,Northwest,East,Southeast,-114,-106,120,-142,-106,-114,-110.0,-110.0,125.0,-154.0,-110.0,-110.0,-115.0,-105.0,124.0,-148.0,-108.0,-112.0,-112.0,-113.0,120.0,-150.0,,,-110.0,-110.0,125.0,-150.0,-110.0,-110.0,-104.0,-108.0,129.0,-146.0,-102.0,-113.0,-108.0,-112.0,127.0,-147.0,-105.0,-115.0,-105.0,-115.0,129.0,-150.0,-110.0,-110.0,-110.0,-110.0,125.0,-145.0,-105.0,-115.0
NBA,2026-01-09 21:02:08,2026-01-09 21:10,Phoenix Suns,New York Knicks,No,2145.0,Yes,-112.0,-85.56,-58.78,-116.89,-109.25,-110.0,West,Pacific,East,Atlantic,-106,-114,102,-120,-114,-106,-110.0,-110.0,-104.0,-118.0,-110.0,-110.0,-115.0,-105.0,-102.0,-118.0,-108.0,-112.0,-114.0,-112.0,-103.0,-122.0,,,-120.0,100.0,-105.0,-115.0,-105.0,-115.0,-106.0,-106.0,100.0,-116.0,-107.0,-107.0,-110.0,-110.0,-102.0,-118.0,-110.0,-110.0,-112.0,-108.0,-105.0,-115.0,-110.0,-110.0,-115.0,-105.0,-110.0,-110.0,-110.0,-110.0
NBA,2026-01-09 21:02:08,2026-01-09 22:10,Golden State Warriors,Sacramento Kings,Yes,74.0,Yes,-110.11,-109.67,-814.22,550.11,-109.62,-109.62,West,Pacific,West,Pacific,-110,-110,-900,610,-110,-110,-110.0,-110.0,-833.0,525.0,-110.0,-110.0,-115.0,-105.0,-750.0,525.0,-110.0,-110.0,-113.0,-113.0,-1000.0,600.0,,,-110.0,-110.0,-800.0,550.0,-110.0,-110.0,-107.0,-105.0,-755.0,558.0,-107.0,-107.0,-111.0,-109.0,-770.0,543.0,-110.0,-110.0,-110.0,-110.0,-770.0,540.0,-110.0,-110.0,-105.0,-115.0,-750.0,500.0,-110.0,-110.0
NBA,2026-01-09 21:02:08,2026-01-09 22:10,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-109.56,-110.22,204.67,-251.44,-109.38,-109.88,West,Northwest,West,Southwest,-106,-114,200,-245,-108,-112,-110.0,-110.0,210.0,-270.0,-110.0,-110.0,-108.0,-112.0,200.0,-245.0,-110.0,-110.0,-112.0,-114.0,205.0,-265.0,,,-105.0,-115.0,200.0,-250.0,-110.0,-110.0,-108.0,-104.0,210.0,-248.0,-107.0,-107.0,-112.0,-108.0,207.0,-250.0,-110.0,-110.0,-110.0,-110.0,210.0,-250.0,-110.0,-110.0,-115.0,-105.0,200.0,-240.0,-110.0,-110.0
NBA,2026-01-09 21:02:08,2026-01-09 22:40,Los Angeles Lakers,Milwaukee Bucks,No,1745.7,Yes,-110.0,-109.62,-153.56,129.89,-110.12,-109.12,West,Pacific,East,Central,-110,-110,-158,134,-114,-106,-110.0,-110.0,-156.0,126.0,-110.0,-110.0,-105.0,-115.0,-155.0,130.0,-110.0,-110.0,-110.0,-115.0,-150.0,120.0,,,,,-160.0,135.0,-110.0,-110.0,-108.0,-104.0,-151.0,133.0,-107.0,-107.0,-112.0,-108.0,-152.0,132.0,-110.0,-110.0,-110.0,-110.0,-150.0,129.0,-110.0,-110.0,-115.0,-105.0,-150.0,130.0,-110.0,-110.0
