League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2026-02-16 17:28:46,2026-02-19 19:00,c93f72cb146ef69c7bd4a79f03481123,Washington Wizards,Indiana Pacers,No,492.8,Yes,East,Southeast,East,Central,-113.0,-108.0,4.0,-4.0,130.75,-157.25,-110.5,-110.25,235.0,-110,-110,136,-162,-110,-110,-112,-112,128,-159,-110,-113,-115,-105,124,-148,-112,-108,-115,-105,135,-160,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 19:10,d647541d42648749f3bde601547fa1be,Philadelphia 76ers,Atlanta Hawks,No,663.4,Yes,East,Atlantic,East,Southeast,-108.75,-112.0,-4.38,4.38,-187.0,153.5,-110.5,-110.5,236.0,-108,-112,-186,156,-110,-110,-109,-114,-180,143,-112,-112,-108,-112,-192,160,-110,-110,-110,-110,-190,155,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 19:10,24a92d49df82923f29b3e9cda4d57446,Cleveland Cavaliers,Brooklyn Nets,No,406.4,Yes,East,Central,East,Atlantic,-111.5,-109.25,-13.5,13.5,-801.25,545.0,-109.5,-111.5,228.5,-112,-108,-770,540,-108,-112,-114,-109,-835,540,-112,-112,-110,-110,-800,550,-108,-112,-110,-110,-800,550,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 19:10,97031eee2ea39d890bf5046a1c57c7a7,Charlotte Hornets,Houston Rockets,No,927.0,Yes,East,Southeast,West,Southwest,-110.25,-110.5,2.38,-2.38,112.0,-135.0,-110.75,-110.0,214.5,-108,-112,114,-134,-110,-110,-113,-110,114,-141,-113,-110,-110,-110,110,-130,-110,-110,-110,-110,110,-135,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 19:40,0ea61c4bb159036d242d6aa077216586,New York Knicks,Detroit Pistons,No,482.2,Yes,East,Atlantic,East,Central,-54.0,-116.75,-3.38,3.38,-159.25,132.75,-112.0,-108.75,222.0,-106,-114,-156,132,-114,-106,-110,-113,-159,128,-114,-109,102,-122,-162,136,-110,-110,-102,-118,-160,135,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 20:10,537f72a12ccf54596ce42c638bacb485,Chicago Bulls,Toronto Raptors,No,438.9,Yes,East,Central,East,Atlantic,-110.75,-110.0,6.12,-6.12,176.75,-217.0,-110.0,-110.5,232.0,-112,-108,172,-205,-112,-108,-109,-114,175,-225,-110,-112,-112,-108,180,-218,-108,-112,-110,-110,180,-220,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 20:40,d34f8e76f10dd65a684c9bd6301e667e,San Antonio Spurs,Phoenix Suns,No,850.8,Yes,West,Southwest,West,Pacific,-112.25,-108.5,-6.5,6.5,-269.5,217.5,-109.75,-110.75,225.5,-114,-106,-260,215,-110,-110,-115,-108,-265,205,-109,-113,-110,-110,-278,225,-110,-110,-110,-110,-275,225,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 22:10,7bb1dc8e7e0b6a77195533729951d187,Golden State Warriors,Boston Celtics,No,2697.8,Yes,West,Pacific,East,Atlantic,-114.5,-106.25,4.12,-4.12,137.0,-165.25,-110.0,-110.75,223.5,-114,-106,140,-166,-110,-110,-114,-109,128,-159,-110,-113,-115,-105,140,-166,-110,-110,-115,-105,140,-170,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 22:10,fc4ef6fdb917bca80f99940665442e96,Sacramento Kings,Orlando Magic,No,2394.9,Yes,West,Pacific,East,Southeast,-114.25,-56.5,11.25,-11.25,393.75,-533.75,-109.75,-110.75,223.5,-112,-108,420,-560,-110,-110,-115,-108,410,-590,-109,-113,-125,105,370,-485,-110,-110,-105,-115,375,-500,-110,-110
NBA,2026-02-16 17:28:46,2026-02-19 22:40,13c088a4f279e674bf80e4cb06d231a9,Los Angeles Clippers,Denver Nuggets,No,839.4,Yes,West,Pacific,West,Northwest,-107.5,-113.25,3.5,-3.5,135.5,-164.5,-110.5,-110.5,226.5,-110,-110,138,-164,-112,-108,-110,-113,133,-167,-112,-112,-105,-115,136,-162,-108,-112,-105,-115,135,-165,-110,-110
