League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-12-07 07:45:42,2025-12-07 12:10,New York Knicks,Orlando Magic,No,940.3,No,-110.33,-109.44,-143.33,121.22,-110.89,-109.22,East,Atlantic,East,Southeast,-112,-108,-142,120,-110,-110,-110.0,-110.0,-139.0,113.0,-110.0,-110.0,-112,-108,-148,124,-108,-112,-113,-113,-137,112,-112,-114,-106.0,-106.0,-144.0,127.0,-113.0,-102.0,-110.0,-110.0,-145.0,125.0,-115.0,-105.0,-110.0,-110.0,-145.0,120.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-07 15:40,Toronto Raptors,Boston Celtics,Yes,430.3,No,-109.11,-110.67,129.33,-154.11,-109.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,130,-154,-106,-114,-110.0,-110.0,130.0,-159.0,-110.0,-110.0,-112,-108,130,-155,-105,-115,-114,-112,123,-155,-110,-115,-101.0,-111.0,132.0,-149.0,-113.0,-102.0,-105.0,-115.0,130.0,-150.0,-115.0,-105.0,-115.0,-105.0,125.0,-155.0,-105.0,-115.0,-105.0,-115.0,135.0,-160.0,-110.0,-110.0,-110.0,-110.0,129.0,-150.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-07 18:10,Charlotte Hornets,Denver Nuggets,No,1359.8,No,-63.11,-112.22,370.0,-488.22,-110.67,-109.22,East,Southeast,West,Northwest,-106,-114,380,-490,-110,-110,-110.0,-110.0,365.0,-500.0,-110.0,-110.0,-108,-112,380,-500,-112,-108,-113,-113,350,-480,-112,-113,104.0,-116.0,377.0,-474.0,-107.0,-107.0,100.0,-120.0,370.0,-480.0,-110.0,-110.0,-110.0,-110.0,375.0,-500.0,-115.0,-105.0,-115.0,-105.0,355.0,-490.0,-110.0,-110.0,-110.0,-110.0,378.0,-480.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-07 18:10,Memphis Grizzlies,Portland Trail Blazers,No,1849.4,No,-110.44,-109.33,-118.11,-35.22,-108.78,-111.33,West,Southwest,West,Northwest,-110,-110,-116,-102,-110,-110,-110.0,-110.0,-119.0,-103.0,-110.0,-110.0,-110,-110,-118,-102,-108,-112,-113,-113,-118,-106,-114,-112,-111.0,-101.0,-116.0,100.0,-102.0,-113.0,-115.0,-105.0,-118.0,-102.0,-110.0,-110.0,-105.0,-115.0,-118.0,-102.0,-105.0,-115.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0,-110.0,-110.0,-120.0,100.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-07 19:10,Chicago Bulls,Golden State Warriors,No,1855.4,Yes,-111.5,-108.25,-105.67,-114.22,-110.89,-109.0,East,Central,West,Pacific,-110,-110,-102,-116,-108,-112,,,-108.0,-114.0,-110.0,-110.0,-118,-102,-108,-112,-112,-108,-113,-113,-108,-115,-110,-114,-106.0,-106.0,-103.0,-113.0,-113.0,-102.0,-110.0,-110.0,-105.0,-115.0,-115.0,-105.0,-115.0,-105.0,-102.0,-118.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-07 19:40,Philadelphia 76ers,Los Angeles Lakers,No,2394.9,Yes,-108.22,-111.56,151.44,-179.78,-110.22,-109.78,East,Atlantic,West,Pacific,-106,-114,138,-164,-110,-110,-110.0,-110.0,148.0,-182.0,-110.0,-110.0,-105,-115,154,-185,-112,-108,-117,-109,143,-177,-113,-113,-101.0,-111.0,158.0,-180.0,-107.0,-107.0,-105.0,-115.0,157.0,-180.0,-110.0,-110.0,-110.0,-110.0,150.0,-185.0,-110.0,-110.0,-110.0,-110.0,160.0,-185.0,-110.0,-110.0,-110.0,-110.0,155.0,-180.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-07 20:10,Utah Jazz,Oklahoma City Thunder,Yes,863.6,Yes,-111.33,-108.44,335.22,-436.67,-109.89,-110.11,West,Northwest,West,Northwest,-114,-106,360,-460,-106,-114,-110.0,-110.0,320.0,-435.0,-110.0,-110.0,-110,-110,330,-425,-110,-110,-117,-109,335,-455,-112,-114,-106.0,-106.0,340.0,-420.0,-109.0,-105.0,-110.0,-110.0,334.0,-425.0,-112.0,-108.0,-110.0,-110.0,340.0,-450.0,-110.0,-110.0,-115.0,-105.0,325.0,-435.0,-110.0,-110.0,-110.0,-110.0,333.0,-425.0,-110.0,-110.0
NBA,2025-12-07 07:45:42,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-113.0,-108.67,-218.33,178.67,-113.0,-109.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-115,-105,-230,190,-115,-105,-110,-115,-215,170,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 07:45:42,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,123.33,-149.33,-110.0,-111.33,East,Atlantic,East,Atlantic,-110,-110,126,-148,-110,-110,,,,,,,-115,-105,124,-148,-110,-110,-113,-113,120,-152,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 07:45:42,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-112.67,-109.0,-1216.67,716.67,-110.0,-111.33,West,Northwest,West,Pacific,-110,-110,-1200,750,-110,-110,,,,,,,-115,-105,-1200,750,-110,-110,-113,-112,-1250,650,-110,-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-07 07:45:42,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-113.0,-109.0,-167.0,139.0,-112.67,-109.33,West,Pacific,West,Southwest,-110,-110,-168,142,-110,-110,,,,,,,-115,-105,-166,140,-115,-105,-114,-112,-167,135,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
