League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-03-23 06:50:32,2026-03-23 19:10,b542245530e737dbd0703796ab0c1257,Detroit Pistons,Los Angeles Lakers,No,1984.4,Yes,East,Central,West,Pacific,-111.33,-108.11,2.44,-2.44,118.33,-140.44,-108.0,-111.78,226.44,-106,-114,116,-136,-110,-110,-112,-108,120,-142,-105,-115,-110,-110,118,-145,-115,-105,-113,-110,112,-139,-110,-113,-115,-105,122,-142,-105,-115,-111,-101,124,-141,-102,-113,-110,-110,125,-145,-110,-110,-115,-105,115,-135,-105,-115,-110,-110,113,-139,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 19:10,ee838160ed85754aa11218f7ec3708b0,Orlando Magic,Indiana Pacers,No,820.2,Yes,East,Southeast,East,Central,-109.44,-110.11,-13.0,13.0,-811.56,553.22,-108.33,-111.44,233.33,-110,-110,-820,570,-110,-110,-102,-118,-800,550,-115,-105,-115,-105,-800,550,-105,-115,-112,-112,-835,540,-113,-110,-110,-110,-800,561,-105,-115,-106,-106,-786,576,-102,-113,-110,-110,-850,550,-110,-110,-110,-110,-780,540,-105,-115,-110,-110,-833,542,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 19:10,c61d2594de00eb4d12ba96127dc437e5,Miami Heat,San Antonio Spurs,No,1145.9,Yes,East,Southeast,West,Southwest,-109.67,-109.78,5.11,-5.11,174.11,-208.67,-108.67,-111.0,240.39,-110,-110,166,-198,-106,-114,-115,-105,180,-218,-105,-115,-118,-102,180,-220,-110,-110,-113,-110,160,-200,-110,-113,-105,-115,180,-210,-110,-110,-101,-111,182,-209,-107,-107,-110,-110,170,-200,-110,-110,-105,-115,180,-210,-110,-110,-110,-110,169,-213,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 19:10,49b50074de17e9d2082babc6b09b0d97,Philadelphia 76ers,Oklahoma City Thunder,No,1258.6,Yes,East,Atlantic,West,Northwest,-109.44,-110.0,15.5,-15.5,756.33,-1266.89,-108.56,-111.11,222.61,-110,-110,750,-1200,-110,-110,-110,-110,750,-1200,-112,-108,-110,-110,775,-1400,-110,-110,-109,-114,750,-1430,-113,-109,-110,-110,776,-1250,-105,-115,-106,-106,804,-1222,-102,-113,-110,-110,700,-1200,-110,-110,-110,-110,800,-1250,-105,-115,-110,-110,702,-1250,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 19:40,9693d8c4274c9eabbcb9ab22fcf44936,Atlanta Hawks,Memphis Grizzlies,No,336.6,Yes,East,Southeast,West,Southwest,-111.0,-108.56,-13.78,13.78,-919.67,602.44,-109.89,-109.89,239.72,-114,-106,-950,640,-110,-110,-112,-108,-900,600,-110,-110,-115,-105,-900,575,-110,-110,-112,-112,-835,525,-112,-112,-110,-110,-900,613,-110,-110,-106,-106,-883,631,-107,-107,-110,-110,-1100,650,-110,-110,-110,-110,-900,600,-110,-110,-110,-110,-909,588,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 20:10,20907151ed2de3c55309ff635a0b4f53,Chicago Bulls,Houston Rockets,No,940.2,Yes,East,Central,West,Southwest,-109.78,-109.67,8.11,-8.11,278.89,-354.22,-110.67,-109.11,229.22,-108,-112,265,-330,-114,-106,-115,-105,280,-355,-108,-112,-115,-105,290,-375,-115,-105,-109,-114,260,-345,-112,-112,-110,-110,289,-360,-110,-110,-106,-106,293,-356,-107,-107,-105,-115,280,-360,-110,-110,-110,-110,280,-350,-110,-110,-110,-110,273,-357,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 21:10,3791f62ad672c74a9eaaf206188b1696,Utah Jazz,Toronto Raptors,No,1669.8,Yes,West,Northwest,East,Atlantic,-110.56,-108.89,12.56,-12.56,534.22,-786.44,-111.22,-108.44,230.83,-110,-110,530,-770,-114,-106,-110,-110,550,-800,-112,-108,-110,-110,575,-900,-115,-105,-114,-109,480,-715,-113,-110,-110,-110,546,-775,-110,-110,-106,-106,561,-760,-107,-107,-115,-105,500,-750,-110,-110,-110,-110,545,-775,-110,-110,-110,-110,521,-833,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 21:40,d6018addbf422198251c0674270b87f3,Dallas Mavericks,Golden State Warriors,No,1481.0,Yes,West,Southwest,West,Pacific,-108.44,-111.0,2.06,-2.06,108.56,-129.0,-113.22,-84.44,230.67,-114,-106,108,-126,-110,-110,-102,-118,105,-125,-115,-105,-105,-115,105,-125,-115,-105,-114,-109,117,-143,-112,-112,-110,-110,107,-127,-117,-103,-106,-106,109,-125,-115,100,-105,-115,115,-135,-110,-110,-110,-110,105,-125,-115,-105,-110,-110,106,-130,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 22:10,3cd97096b11e331414ff5b0b6c515f5c,Portland Trail Blazers,Brooklyn Nets,No,2447.2,Yes,West,Northwest,East,Atlantic,-109.78,-109.78,-14.5,14.5,-1025.44,652.11,-110.11,-109.56,219.17,-112,-108,-1200,750,-108,-112,-108,-112,-950,625,-108,-112,-110,-110,-1000,625,-115,-105,-112,-112,-1000,600,-113,-110,-110,-110,-1000,661,-110,-110,-106,-106,-979,683,-107,-107,-110,-110,-1100,650,-110,-110,-110,-110,-1000,650,-110,-110,-110,-110,-1000,625,-110,-110
NBA,2026-03-23 06:50:32,2026-03-23 22:40,9d16ebba2fd9d005cddea05f25e60145,Los Angeles Clippers,Milwaukee Bucks,No,1753.0,Yes,West,Pacific,East,Central,-108.67,-110.78,-13.33,13.33,-795.56,540.0,-110.44,-109.33,224.0,-108,-112,-820,570,-112,-108,-105,-115,-800,550,-108,-112,-105,-115,-750,525,-115,-105,-109,-114,-835,510,-112,-112,-110,-110,-750,534,-110,-110,-106,-106,-737,547,-107,-107,-115,-105,-900,575,-110,-110,-110,-110,-735,525,-110,-110,-110,-110,-833,524,-110,-110
