League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-11-27 13:33:56,2025-11-28 19:40,Atlanta Hawks,Cleveland Cavaliers,No,553.9,Yes,-110.25,-109.38,139.38,-165.75,-110.88,-109.25,East,Southeast,East,Central,-108,-112,136,-162,-110,-110,-115,-110,132,-165,-112,-114,-108,-112,142,-170,-112,-108,-110,-110,129,-159,-110,-110,-105,-115,145,-170,-110,-110,-115,-105,145,-165,-115,-105,-111,-101,146,-165,-113,-102,-110,-110,140,-170,-105,-115
NBA,2025-11-27 13:33:56,2025-11-28 19:40,Brooklyn Nets,Philadelphia 76ers,Yes,83.1,Yes,-111.0,-108.75,215.88,-265.88,-108.62,-111.38,East,Atlantic,East,Atlantic,-110,-110,220,-270,-110,-110,-109,-117,215,-278,-112,-113,-108,-112,220,-270,-110,-110,-110,-110,204,-256,-110,-110,-115,-105,215,-260,-110,-110,-115,-105,215,-260,-105,-115,-111,-101,218,-258,-102,-113,-110,-110,220,-275,-110,-110
NBA,2025-11-27 13:33:56,2025-11-28 19:40,Charlotte Hornets,Chicago Bulls,No,589.3,Yes,-112.5,-107.12,129.75,-154.0,-109.88,-110.12,East,Southeast,East,Central,-114,-106,130,-154,-110,-110,-115,-110,120,-152,-112,-114,-115,-105,130,-155,-110,-110,-110,-110,127,-156,-110,-110,-105,-115,125,-145,-110,-110,-115,-105,135,-155,-110,-110,-111,-101,136,-155,-107,-107,-115,-105,135,-160,-110,-110
NBA,2025-11-27 13:33:56,2025-11-28 19:40,Detroit Pistons,Orlando Magic,No,956.1,Yes,-107.5,-112.25,-180.25,151.0,-110.0,-110.0,East,Central,East,Southeast,-112,-108,-180,152,-110,-110,-112,-114,-182,145,-113,-113,-105,-115,-180,150,-110,-110,-110,-110,-185,149,-110,-110,-110,-110,-180,155,-110,-110,-105,-115,-175,153,-110,-110,-101,-111,-175,154,-107,-107,-105,-115,-185,150,-110,-110
NBA,2025-11-27 13:33:56,2025-11-28 19:40,Indiana Pacers,Washington Wizards,No,492.8,Yes,-110.12,-109.5,-259.5,210.75,-111.88,-108.12,East,Central,East,Southeast,-110,-110,-240,198,-114,-106,-115,-110,-265,205,-114,-112,-110,-110,-265,215,-115,-105,-110,-110,-263,208,-110,-110,-110,-110,-260,215,-115,-105,-110,-110,-255,211,-110,-110,-106,-106,-253,214,-107,-107,-110,-110,-275,220,-110,-110
NBA,2025-11-27 13:33:56,2025-11-28 19:40,New York Knicks,Milwaukee Bucks,No,734.3,Yes,-111.62,-108.12,-290.75,234.5,-108.88,-111.12,East,Atlantic,East,Central,-110,-110,-280,230,-112,-108,-114,-112,-295,225,-112,-114,-108,-112,-298,240,-105,-115,-110,-110,-286,223,-110,-110,-115,-105,-290,240,-110,-110,-115,-105,-290,237,-110,-110,-111,-101,-287,241,-107,-107,-110,-110,-300,240,-105,-115
NBA,2025-11-27 13:33:56,2025-11-28 21:40,Denver Nuggets,San Antonio Spurs,No,803.4,Yes,-110.38,-109.38,-400.0,309.88,-110.38,-109.62,West,Northwest,West,Southwest,-110,-110,-375,300,-114,-106,-112,-114,-420,310,-112,-114,-105,-115,-410,320,-105,-115,-110,-110,-400,302,-110,-110,-115,-105,-400,300,-110,-110,-115,-105,-400,316,-110,-110,-111,-101,-395,321,-107,-107,-105,-115,-400,310,-115,-105
NBA,2025-11-27 13:33:56,2025-11-28 21:40,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-109.5,-110.0,-1031.25,654.5,-110.88,-109.25,West,Northwest,West,Pacific,-110,-110,-1100,700,-110,-110,-110,-114,-910,550,-114,-112,-110,-110,-1050,675,-110,-110,-110,-110,-1111,642,-110,-110,-110,-110,-1000,625,-110,-110,-110,-110,-1000,661,-115,-105,-106,-106,-979,683,-113,-102,-110,-110,-1100,700,-105,-115
NBA,2025-11-27 13:33:56,2025-11-28 21:40,Utah Jazz,Sacramento Kings,No,533.2,Yes,-108.25,-111.38,-115.5,-104.38,-110.5,-109.38,West,Northwest,West,Pacific,-110,-110,-116,-102,-114,-106,-110,-115,-114,-109,-113,-112,-105,-115,-115,-105,-110,-110,-110,-110,-118,-104,-110,-110,-110,-110,-115,-105,-110,-110,-110,-110,-115,-105,-110,-110,-106,-106,-113,-103,-107,-107,-105,-115,-118,-102,-110,-110
NBA,2025-11-27 13:33:56,2025-11-28 22:10,Los Angeles Lakers,Dallas Mavericks,No,1240.8,Yes,-112.0,-107.75,-537.0,395.88,-112.12,-108.0,West,Pacific,West,Southwest,-114,-106,-510,390,-112,-108,-113,-113,-530,370,-112,-114,-118,-102,-535,400,-115,-105,-110,-110,-588,417,-110,-110,-110,-110,-550,390,-110,-110,-110,-110,-520,396,-115,-105,-106,-106,-513,404,-113,-102,-115,-105,-550,400,-110,-110
NBA,2025-11-27 13:33:56,2025-11-28 22:10,Los Angeles Clippers,Memphis Grizzlies,No,1610.3,Yes,-109.62,-110.12,-258.88,211.62,-110.38,-109.62,West,Pacific,West,Southwest,-108,-112,-260,215,-110,-110,-113,-113,-250,200,-113,-113,-110,-110,-265,215,-108,-112,-110,-110,-263,208,-110,-110,-110,-110,-250,210,-115,-105,-110,-110,-255,211,-110,-110,-106,-106,-253,214,-107,-107,-110,-110,-275,220,-110,-110
