League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds
NBA,2026-05-14 15:45:47,2026-05-15 19:10,745d265e0d83dac45060b44665d8cbe5,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,Yes,East,Central,East,Central,-110.0,-109.38,-3.81,3.81,-173.75,145.12,-111.62,-108.12,209.38,-114,-106,-172,144,-112,-108,-110,-113,-180,143,-113,-110,-115,-105,-175,145,-110,-110,-110,-110,-170,145,-110,-110,-105,-115,-170,149,-115,-105,-115,-105,-180,145,-110,-110,-101,-111,-170,150,-113,-102,-110,-110,-173,140,-110,-110
NBA,2026-05-14 15:45:47,2026-05-15 21:40,1bd4432ce20bc61756180bf2d1c59c91,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,West,Northwest,West,Southwest,-107.12,-112.25,4.62,-4.62,164.62,-197.0,-109.5,-110.12,218.62,-106,-114,162,-194,-110,-110,-110,-113,160,-200,-109,-114,-105,-115,164,-198,-110,-110,-115,-105,165,-195,-110,-110,-105,-115,170,-195,-110,-110,-105,-115,165,-200,-110,-110,-101,-111,171,-195,-107,-107,-110,-110,160,-199,-110,-110
