League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds
NBA,2026-02-01 13:36:10,2026-02-01 15:40,5c0746ce9061a650f053a42e255e9c56,Boston Celtics,Milwaukee Bucks,No,857.9,No,East,Atlantic,East,Central,-111.67,-108.0,-12.78,12.78,-620.44,448.56,-110.11,-109.89,216.83,-115,-105,-600,450,-115,-105,-110,-110,-673,465,-110,-110,-112,-108,-600,440,-105,-115,-108,-104,-591,456,-107,-107,-112,-108,-600,446,-110,-110,-115,-105,-625,450,-110,-110,-110,-110,-600,450,-110,-110,-110,-110,-625,430,-110,-110,-113,-112,-670,450,-114,-112
NBA,2026-02-01 13:36:10,2026-02-01 18:10,d2cc88f351d8b29d40d8a8cfbe724ad1,Detroit Pistons,Brooklyn Nets,No,484.4,No,East,Central,East,Atlantic,-109.56,-110.22,-12.5,12.5,-647.0,462.44,-110.33,-109.67,215.5,-112,-108,-650,480,-110,-110,-110,-110,-667,450,-110,-110,-110,-110,-650,470,-112,-108,-101,-111,-591,456,-107,-107,-105,-115,-600,446,-110,-110,-110,-110,-650,475,-110,-110,-110,-110,-600,450,-110,-110,-115,-105,-700,475,-110,-110,-113,-113,-715,460,-114,-112
NBA,2026-02-01 13:36:10,2026-02-01 18:10,dbc4aeceedac7c3d49e0d34601e550c4,Miami Heat,Chicago Bulls,No,1189.0,No,East,Southeast,East,Central,-113.11,-106.67,-5.44,5.44,-221.67,182.89,-108.33,-111.67,235.28,-114,-106,-230,190,-106,-114,-110,-110,-238,189,-110,-110,-118,-102,-230,190,-105,-115,-111,-101,-225,192,-107,-107,-115,-105,-227,190,-110,-110,-118,-102,-235,190,-105,-115,-110,-110,-225,190,-110,-110,-110,-110,-170,145,-110,-110,-112,-114,-215,170,-112,-114
NBA,2026-02-01 13:36:10,2026-02-01 18:10,0210ab755a18ffa716e3e74460b0600d,Washington Wizards,Sacramento Kings,No,2378.6,No,East,Southeast,West,Pacific,-111.33,-108.22,2.17,-2.17,111.22,-132.56,-110.11,-109.89,228.44,-112,-108,112,-132,-110,-110,-110,-110,108,-132,-110,-110,-115,-105,114,-135,-110,-110,-106,-106,112,-128,-107,-107,-110,-110,110,-130,-110,-110,-115,-105,110,-135,-110,-110,-110,-110,110,-130,-110,-110,-115,-105,115,-135,-110,-110,-109,-115,110,-136,-114,-112
NBA,2026-02-01 13:36:10,2026-02-01 18:10,007cc4ad87ae4f21fa2e95d659fa0832,Toronto Raptors,Utah Jazz,No,1669.8,No,East,Atlantic,West,Northwest,-110.67,-109.11,-10.72,10.72,-495.44,370.56,-109.56,-110.44,234.67,-110,-110,-480,370,-108,-112,-110,-110,-505,361,-110,-110,-115,-105,-485,370,-112,-108,-109,-103,-464,370,-107,-107,-113,-107,-470,364,-110,-110,-110,-110,-475,360,-105,-115,-110,-110,-470,370,-110,-110,-105,-115,-550,390,-110,-110,-114,-112,-560,380,-114,-112
NBA,2026-02-01 13:36:10,2026-02-01 19:10,738c1334fcfb5a8dfb1149f4cdc3ffa4,New York Knicks,Los Angeles Lakers,No,2452.9,Yes,East,Atlantic,West,Pacific,-110.67,-109.11,-4.78,4.78,-190.0,159.11,-111.11,-108.89,228.89,-110,-110,-198,166,-114,-106,-110,-110,-200,160,-110,-110,-112,-108,-192,160,-115,-105,-103,-109,-185,162,-107,-107,-107,-113,-185,161,-110,-110,-115,-105,-190,154,-110,-110,-110,-110,-185,159,-110,-110,-115,-105,-185,160,-110,-110,-114,-112,-190,150,-114,-112
NBA,2026-02-01 13:36:10,2026-02-01 19:10,642a194513f0ec5b24011af9806a397c,San Antonio Spurs,Orlando Magic,No,1033.6,Yes,West,Southwest,East,Southeast,-109.44,-110.22,-4.56,4.56,-189.89,158.33,-110.22,-109.56,223.67,-110,-110,-194,162,-108,-112,-110,-110,-185,150,-110,-110,-108,-112,-185,154,-112,-108,-102,-110,-180,158,-107,-107,-105,-115,-180,157,-110,-110,-110,-110,-190,154,-115,-105,-110,-110,-180,155,-110,-110,-115,-105,-210,175,-110,-110,-115,-110,-205,160,-110,-114
NBA,2026-02-01 13:36:10,2026-02-01 20:10,234f77cf5691a918e9951eccf534878a,Phoenix Suns,Los Angeles Clippers,Yes,362.6,Yes,West,Pacific,West,Pacific,-109.78,-110.0,-1.61,1.61,-107.0,85.89,-109.67,-110.11,210.78,-110,-110,-136,116,-110,-110,-110,-110,-130,106,-110,-110,-102,-118,-130,110,-110,-110,-106,-106,-133,117,-107,-107,-110,-110,-135,115,-110,-110,-118,-102,-135,110,-110,-110,-110,-110,-135,115,-110,-110,-110,-110,100,-120,-110,-110,-112,-114,-129,104,-110,-114
NBA,2026-02-01 13:36:10,2026-02-01 21:10,b4985acd1a9b9f1b6530bed611bfce81,Portland Trail Blazers,Cleveland Cavaliers,No,2055.0,Yes,West,Northwest,East,Central,-110.67,-109.11,3.17,-3.17,130.89,-155.11,-110.89,-109.0,229.22,-110,-110,132,-156,-114,-106,-110,-110,131,-160,-110,-110,-118,-102,130,-155,-112,-108,-101,-111,136,-155,-107,-107,-105,-115,135,-155,-110,-110,-115,-105,125,-155,-110,-110,-110,-110,134,-155,-110,-110,-110,-110,130,-150,-110,-110,-117,-109,125,-155,-115,-110
NBA,2026-02-01 13:36:10,2026-02-01 21:40,1c9f0b84a617632c33b94135b8101897,Denver Nuggets,Oklahoma City Thunder,Yes,506.0,Yes,West,Northwest,West,Northwest,-111.67,-107.89,7.5,-7.5,215.11,-264.33,-110.33,-109.67,223.94,-114,-106,215,-260,-110,-110,-110,-110,208,-263,-110,-110,-112,-108,210,-258,-108,-112,-108,-104,218,-258,-107,-107,-112,-108,215,-260,-110,-110,-110,-110,200,-250,-115,-105,-110,-110,215,-255,-110,-110,-115,-105,230,-280,-110,-110,-114,-110,225,-295,-113,-113
