League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-01-07 23:03:46,2026-01-07 21:43,San Antonio Spurs,Los Angeles Lakers,No,1208.0,Yes,-115.2,-113.8,-557.0,369.0,-113.75,-115.0,West,Southwest,West,Pacific,-112,-118,-590,390,-114,-114,-115,-115,-620,400,-120,-110,-121,-113,-625,390,,,-118,-105,-400,290,-111,-118,-110,-118,-550,375,-110,-118,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 23:03:46,2026-01-07 22:11,Golden State Warriors,Milwaukee Bucks,No,1840.7,Yes,-116.6,-113.6,-1000.0,549.0,-117.0,-112.75,West,Pacific,East,Central,-114,-114,-1200,630,-122,-108,-105,-125,-1050,600,-120,-110,-121,-113,-1250,600,,,-118,-111,-500,340,-111,-118,-125,-105,-1000,575,-115,-115,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 23:03:46,2026-01-07 22:11,Portland Trail Blazers,Houston Rockets,No,1836.0,Yes,-121.2,-70.0,131.6,-174.4,-123.5,-55.0,West,Northwest,West,Southwest,-138,104,126,-162,-146,110,-105,-125,124,-160,-115,-115,-120,-114,118,-155,,,-125,-105,180,-250,-118,-105,-118,-110,110,-145,-115,-110,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-01-07 23:03:46,2026-01-08 19:10,Charlotte Hornets,Indiana Pacers,No,428.0,Yes,-110.33,-109.44,-165.78,139.78,-109.88,-109.38,East,Southeast,East,Central,-108,-112,-164,138,-112,-108,-112,-108,-166,140,-110,-110,-117,-109,-165,132,,,-110,-110,-167,135,-110,-110,-110,-110,-170,140,-110,-110,-106.0,-106.0,-165.0,146.0,-107.0,-107.0,-110.0,-110.0,-165.0,145.0,-110.0,-110.0,-110.0,-110.0,-165.0,142.0,-110.0,-110.0,-110.0,-110.0,-165.0,140.0,-110.0,-110.0
NBA,2026-01-07 23:03:46,2026-01-08 20:10,Chicago Bulls,Miami Heat,No,1189.0,Yes,-108.44,-111.22,218.89,-269.67,-110.5,-108.75,East,Central,East,Southeast,-110,-110,215,-260,-112,-108,-108,-112,230,-285,-115,-105,-112,-113,210,-275,,,-110,-110,229,-294,-110,-110,-105,-115,220,-275,-110,-110,-106.0,-106.0,218.0,-258.0,-107.0,-107.0,-110.0,-110.0,215.0,-260.0,-110.0,-110.0,-110.0,-110.0,218.0,-260.0,-110.0,-110.0,-105.0,-115.0,215.0,-260.0,-110.0,-110.0
NBA,2026-01-07 23:03:46,2026-01-08 20:10,Minnesota Timberwolves,Cleveland Cavaliers,No,631.6,Yes,-109.67,-110.11,-140.56,118.22,-111.38,-108.0,West,Northwest,East,Central,-106,-114,-144,122,-110,-110,-112,-108,-148,124,-108,-112,-113,-113,-150,120,,,-110,-110,-135,111,-110,-110,-110,-110,-140,115,-110,-110,-106.0,-106.0,-133.0,117.0,-113.0,-102.0,-110.0,-110.0,-135.0,115.0,-115.0,-105.0,-110.0,-110.0,-135.0,115.0,-115.0,-105.0,-110.0,-110.0,-145.0,125.0,-110.0,-110.0
NBA,2026-01-07 23:03:46,2026-01-08 21:10,Utah Jazz,Dallas Mavericks,No,999.4,Yes,-111.0,-108.71,243.14,-304.29,-74.83,-110.83,West,Northwest,West,Southwest,-106,-114,245,-300,-112,-108,-118,-102,260,-325,100,-120,-112,-114,225,-295,,,-110,-110,254,-333,-110,-110,-115,-105,240,-300,-110,-110,-106.0,-106.0,241.0,-287.0,-107.0,-107.0,-110.0,-110.0,237.0,-290.0,-110.0,-110.0,,,,,,,,,,,,
