League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-02-21 17:24:21,2026-02-21 17:10,6d02351fc9049e70d91ef8f2e483841f,Phoenix Suns,Orlando Magic,No,1845.4,No,West,Pacific,East,Southeast,-113.33,-111.89,0.61,-0.61,24.56,-52.11,-90.33,-113.67,215.44,-110,-120,122,-156,104,-138,-118.0,-105.0,110.0,-133.0,-111.0,-111.0,-120.0,-110.0,110.0,-140.0,-115.0,-115.0,-120.0,-114.0,120.0,-157.0,-118.0,-118.0,-109.0,-103.0,-152.0,134.0,-110.0,-104.0,-113.0,-107.0,-154.0,134.0,-113.0,-107.0,-110.0,-118.0,120.0,-155.0,-115.0,-115.0,-110.0,-120.0,100.0,-130.0,-120.0,-110.0,-110.0,-110.0,-155.0,134.0,-115.0,-105.0
NBA,2026-02-21 17:24:21,2026-02-21 19:10,79126e6bb6f06816ce09dea725b37c41,New Orleans Pelicans,Philadelphia 76ers,No,1086.9,Yes,West,Southwest,East,Atlantic,-108.44,-111.0,3.72,-3.72,140.11,-166.78,-110.78,-109.0,235.06,-106,-114,144,-172,-110,-110,-110.0,-110.0,135.0,-167.0,-110.0,-110.0,-115.0,-105.0,140.0,-166.0,-108.0,-112.0,-114.0,-109.0,148.0,-186.0,-113.0,-110.0,-101.0,-111.0,141.0,-160.0,-112.0,-103.0,-105.0,-115.0,140.0,-160.0,-114.0,-106.0,-105.0,-115.0,140.0,-170.0,-115.0,-105.0,-110.0,-110.0,135.0,-160.0,-105.0,-115.0,-110.0,-110.0,138.0,-160.0,-110.0,-110.0
NBA,2026-02-21 17:24:21,2026-02-21 20:10,4337e68d3ba859dfc47ab3ac2f404a0d,Chicago Bulls,Detroit Pistons,Yes,239.5,Yes,East,Central,East,Central,-106.11,-113.33,10.5,-10.5,406.33,-554.11,-109.11,-110.67,235.39,-105,-115,410,-550,-108,-112,-110.0,-110.0,418.0,-594.0,-110.0,-110.0,-108.0,-112.0,410.0,-550.0,-110.0,-110.0,-109.0,-114.0,400.0,-590.0,-112.0,-112.0,-101.0,-111.0,411.0,-523.0,-107.0,-107.0,-105.0,-115.0,403.0,-530.0,-110.0,-110.0,-102.0,-118.0,425.0,-600.0,-110.0,-110.0,-105.0,-115.0,375.0,-525.0,-105.0,-115.0,-110.0,-110.0,405.0,-525.0,-110.0,-110.0
NBA,2026-02-21 17:24:21,2026-02-21 20:10,6d8e789e50597eda49fecfade742c637,Miami Heat,Memphis Grizzlies,No,871.8,Yes,East,Southeast,West,Southwest,-110.67,-108.78,-11.89,11.89,-598.56,433.67,-110.11,-109.44,236.61,-114,-106,-550,410,-110,-110,-110.0,-110.0,-631.0,426.0,-110.0,-110.0,-118.0,-102.0,-600.0,440.0,-112.0,-108.0,-113.0,-110.0,-590.0,400.0,-112.0,-110.0,-106.0,-106.0,-591.0,456.0,-107.0,-107.0,-110.0,-110.0,-600.0,446.0,-110.0,-110.0,-105.0,-115.0,-625.0,450.0,-110.0,-110.0,-110.0,-110.0,-600.0,425.0,-110.0,-110.0,-110.0,-110.0,-600.0,450.0,-110.0,-110.0
NBA,2026-02-21 17:24:21,2026-02-21 20:10,18bb557cee2cf5d5c9aede6c6e34b942,San Antonio Spurs,Sacramento Kings,No,1460.9,Yes,West,Southwest,West,Pacific,-110.78,-108.67,-18.0,18.0,-1792.0,931.78,-110.22,-109.44,230.56,-110,-110,-1800,980,-112,-108,-110.0,-110.0,-2000.0,896.0,-110.0,-110.0,-108.0,-112.0,-1800.0,1000.0,-110.0,-110.0,-113.0,-110.0,-1667.0,800.0,-113.0,-110.0,-106.0,-106.0,-1561.0,950.0,-107.0,-107.0,-110.0,-110.0,-1600.0,910.0,-110.0,-110.0,-115.0,-105.0,-2000.0,950.0,-110.0,-110.0,-115.0,-105.0,-2000.0,950.0,-110.0,-110.0,-110.0,-110.0,-1700.0,950.0,-110.0,-110.0
NBA,2026-02-21 17:24:21,2026-02-21 20:40,2b618167ad8113aa71a54a28f177f2d3,New York Knicks,Houston Rockets,No,1420.7,Yes,East,Atlantic,West,Southwest,-113.0,-106.44,-3.5,3.5,-164.0,138.22,-109.67,-110.0,219.39,-112,-108,-168,142,-110,-110,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-115.0,-105.0,-162.0,136.0,-110.0,-110.0,-109.0,-114.0,-159.0,128.0,-110.0,-113.0,-111.0,-101.0,-160.0,141.0,-107.0,-107.0,-115.0,-105.0,-160.0,140.0,-110.0,-110.0,-115.0,-105.0,-170.0,140.0,-110.0,-110.0,-115.0,-105.0,-165.0,140.0,-110.0,-110.0,-115.0,-105.0,-165.0,142.0,-110.0,-110.0
NBA,2026-02-21 17:24:21,2026-02-22 13:10,969b50e347f472c863d142252f2a47b1,Oklahoma City Thunder,Cleveland Cavaliers,No,951.7,No,West,Northwest,East,Central,-109.0,-111.0,1.25,-1.25,-102.0,-117.0,-110.0,-110.0,224.0,-110,-110,-102,-116,-110,-110,,,,,,,-108.0,-112.0,-102.0,-118.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-21 17:24:21,2026-02-22 15:40,782bd538baddbe08fa942761254729cf,Golden State Warriors,Denver Nuggets,No,947.0,No,West,Pacific,West,Northwest,-110.0,-110.0,6.0,-6.0,180.0,-215.0,-115.0,-105.0,231.5,-110,-110,180,-215,-115,-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-21 17:24:21,2026-02-22 15:40,7b90ac67ff251c150cfaec7dad0c57fb,Milwaukee Bucks,Toronto Raptors,No,432.0,No,East,Central,East,Atlantic,-110.0,-110.0,3.5,-3.5,135.0,-164.0,-112.5,-107.5,221.75,-110,-110,138,-164,-115,-105,-110.0,-110.0,132.0,-164.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-02-21 17:24:21,2026-02-22 18:40,17acdc05db1e8ba29fd2f420dcdf9bcc,Los Angeles Lakers,Boston Celtics,No,2597.9,No,West,Pacific,East,Atlantic,-110.0,-110.0,1.25,-1.25,-105.5,-112.5,-107.5,-112.5,228.5,-110,-110,-106,-110,-105,-115,,,,,,,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
