League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds
NBA,2025-12-05 13:33:38,2025-12-05 19:10,Boston Celtics,Los Angeles Lakers,No,2597.9,Yes,-108.56,-111.22,-312.44,251.0,-108.44,-111.44,East,Atlantic,West,Pacific,-112,-108,-300,245,-106,-114,-110.0,-110.0,-345.0,263.0,-110.0,-110.0,-105,-115,-310,250,-105,-115,-109,-117,-315,235,-113,-112,-110.0,-110.0,-305.0,249.0,-110.0,-110.0,-106.0,-106.0,-302.0,252.0,-107.0,-107.0,-110.0,-110.0,-310.0,255.0,-110.0,-110.0,-105.0,-115.0,-300.0,250.0,-110.0,-110.0,-110.0,-110.0,-325.0,260.0,-105.0,-115.0
NBA,2025-12-05 13:33:38,2025-12-05 19:10,Orlando Magic,Miami Heat,Yes,203.7,Yes,-110.56,-109.0,-216.0,179.0,-110.11,-109.89,East,Southeast,East,Southeast,-108,-112,-205,172,-112,-108,-110.0,-110.0,-222.0,177.0,-110.0,-110.0,-112,-108,-218,180,-108,-112,-114,-110,-230,180,-114,-112,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-106.0,-106.0,-209.0,182.0,-107.0,-107.0,-110.0,-110.0,-210.0,180.0,-110.0,-110.0,-115.0,-105.0,-220.0,180.0,-110.0,-110.0,-110.0,-110.0,-220.0,180.0,-110.0,-110.0
NBA,2025-12-05 13:33:38,2025-12-05 19:40,Atlanta Hawks,Denver Nuggets,No,1212.6,Yes,-108.44,-111.33,166.11,-197.89,-107.22,-112.89,East,Southeast,West,Northwest,-112,-108,160,-190,-105,-115,-110.0,-110.0,159.0,-196.0,-110.0,-110.0,-105,-115,170,-205,-105,-115,-113,-113,160,-200,-113,-113,-110.0,-110.0,174.0,-200.0,-105.0,-115.0,-106.0,-106.0,175.0,-200.0,-102.0,-113.0,-110.0,-110.0,167.0,-195.0,-110.0,-110.0,-105.0,-115.0,165.0,-195.0,-110.0,-110.0,-105.0,-115.0,165.0,-200.0,-105.0,-115.0
NBA,2025-12-05 13:33:38,2025-12-05 19:40,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-107.11,-112.67,-290.0,235.11,-110.56,-109.44,East,Atlantic,East,Southeast,-106,-114,-270,220,-110,-110,-110.0,-110.0,-303.0,235.0,-110.0,-110.0,-105,-115,-290,235,-110,-110,-112,-114,-295,230,-113,-113,-105.0,-115.0,-295.0,241.0,-110.0,-110.0,-101.0,-111.0,-292.0,245.0,-107.0,-107.0,-105.0,-115.0,-280.0,235.0,-110.0,-110.0,-115.0,-105.0,-285.0,235.0,-110.0,-110.0,-105.0,-115.0,-300.0,240.0,-115.0,-105.0
NBA,2025-12-05 13:33:38,2025-12-05 19:40,Cleveland Cavaliers,San Antonio Spurs,No,1254.7,Yes,-110.22,-109.33,-163.44,137.78,-110.67,-109.33,East,Central,West,Southwest,-110,-110,-158,134,-110,-110,-110.0,-110.0,-167.0,135.0,-110.0,-110.0,-112,-108,-166,140,-115,-105,-109,-115,-165,132,-114,-112,-110.0,-110.0,-160.0,140.0,-110.0,-110.0,-106.0,-106.0,-160.0,141.0,-107.0,-107.0,-110.0,-110.0,-160.0,138.0,-110.0,-110.0,-115.0,-105.0,-170.0,145.0,-110.0,-110.0,-110.0,-110.0,-165.0,135.0,-110.0,-110.0
NBA,2025-12-05 13:33:38,2025-12-05 19:40,Detroit Pistons,Portland Trail Blazers,No,1968.3,Yes,-109.56,-110.11,-300.0,242.78,-111.33,-108.78,East,Central,West,Northwest,-108,-112,-300,245,-110,-110,-110.0,-110.0,-303.0,237.0,-110.0,-110.0,-112,-108,-305,245,-110,-110,-110,-115,-295,225,-114,-112,-110.0,-110.0,-300.0,245.0,-115.0,-105.0,-106.0,-106.0,-297.0,248.0,-113.0,-102.0,-110.0,-110.0,-300.0,250.0,-110.0,-110.0,-110.0,-110.0,-300.0,250.0,-115.0,-105.0,-110.0,-110.0,-300.0,240.0,-105.0,-115.0
NBA,2025-12-05 13:33:38,2025-12-05 19:40,New York Knicks,Utah Jazz,No,1973.2,Yes,-108.22,-111.56,-1204.67,729.22,-107.78,-112.33,East,Atlantic,West,Northwest,-106,-114,-1400,830,-110,-110,-110.0,-110.0,-1250.0,691.0,-110.0,-110.0,-110,-110,-1200,750,-110,-110,-112,-114,-1115,650,-113,-113,-110.0,-110.0,-1100.0,709.0,-105.0,-115.0,-106.0,-106.0,-1077.0,733.0,-102.0,-113.0,-110.0,-110.0,-1100.0,700.0,-110.0,-110.0,-105.0,-115.0,-1200.0,700.0,-105.0,-115.0,-105.0,-115.0,-1400.0,800.0,-105.0,-115.0
NBA,2025-12-05 13:33:38,2025-12-05 20:10,Chicago Bulls,Indiana Pacers,Yes,166.3,Yes,-109.56,-110.22,-189.33,158.89,-110.22,-109.56,East,Central,East,Central,-110,-110,-178,150,-110,-110,-110.0,-110.0,-198.0,159.0,-110.0,-110.0,-108,-112,-198,164,-115,-105,-112,-114,-200,160,-110,-114,-110.0,-110.0,-185.0,161.0,-110.0,-110.0,-106.0,-106.0,-185.0,162.0,-107.0,-107.0,-110.0,-110.0,-185.0,159.0,-110.0,-110.0,-110.0,-110.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-110.0,-110.0
NBA,2025-12-05 13:33:38,2025-12-05 20:10,Houston Rockets,Phoenix Suns,No,1016.4,Yes,-108.44,-111.33,-545.89,403.56,-110.56,-109.44,West,Southwest,West,Pacific,-112,-108,-500,385,-108,-112,-110.0,-110.0,-561.0,394.0,-110.0,-110.0,-102,-118,-550,410,-112,-108,-109,-117,-560,390,-113,-113,-111.0,-109.0,-550.0,415.0,-110.0,-110.0,-107.0,-105.0,-542.0,423.0,-107.0,-107.0,-110.0,-110.0,-550.0,425.0,-110.0,-110.0,-110.0,-110.0,-550.0,390.0,-110.0,-110.0,-105.0,-115.0,-550.0,400.0,-115.0,-105.0
NBA,2025-12-05 13:33:38,2025-12-05 20:10,Memphis Grizzlies,Los Angeles Clippers,No,1610.3,Yes,-108.89,-110.89,107.11,-128.11,-109.67,-110.22,West,Southwest,West,Pacific,-104,-118,108,-126,-112,-108,-110.0,-110.0,102.0,-125.0,-110.0,-110.0,-105,-115,110,-130,-108,-112,-115,-109,102,-129,-110,-115,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-106.0,-106.0,112.0,-128.0,-107.0,-107.0,-110.0,-110.0,110.0,-130.0,-110.0,-110.0,-115.0,-105.0,105.0,-125.0,-110.0,-110.0,-105.0,-115.0,105.0,-130.0,-110.0,-110.0
