League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-03-29 18:31:28,2026-03-29 17:11,4a5c2769cf86051e5ed8bdd8a6633ab4,Indiana Pacers,Miami Heat,No,1023.6,No,East,Central,East,Southeast,-80.0,-117.33,6.17,-6.17,250.0,-347.83,-112.67,-118.17,269.17,104,-138,290,-410,-104,-128,-110.0,-120.0,280.0,-395.0,-115.0,-115.0,-118.0,-115.0,255.0,-360.0,-121.0,-115.0,-118.0,-110.0,260.0,-350.0,-110.0,-118.0,-120.0,-110.0,250.0,-350.0,-115.0,-115.0,-118.0,-111.0,165.0,-222.0,-111.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-03-29 18:31:28,2026-03-29 18:10,ba9f78305e7187a27e22f030883c2c19,Brooklyn Nets,Sacramento Kings,No,2508.3,No,East,Atlantic,West,Pacific,-113.5,-115.5,-8.08,8.08,-371.83,265.0,-119.0,-77.5,214.25,-120,-110,-390,280,-138,104,-105.0,-125.0,-375.0,270.0,-115.0,-115.0,-120.0,-114.0,-420.0,295.0,-117.0,-118.0,-110.0,-118.0,-350.0,260.0,-118.0,-110.0,-115.0,-115.0,-410.0,280.0,-115.0,-115.0,-111.0,-111.0,-286.0,205.0,-111.0,-111.0,,,,,,,,,,,,,,,,,,
NBA,2026-03-29 18:31:28,2026-03-29 18:11,8d6b8b25d9790bf08a65761a3d63b611,Charlotte Hornets,Boston Celtics,No,721.0,No,East,Southeast,East,Atlantic,-111.83,-117.5,0.0,0.0,-76.83,-117.5,-114.33,-115.5,210.17,-102,-130,-118,-108,-118,-112,-105.0,-125.0,-115.0,-115.0,-115.0,-115.0,-118.0,-115.0,102.0,-132.0,-117.0,-118.0,-118.0,-110.0,-102.0,-125.0,-110.0,-115.0,-110.0,-120.0,-110.0,-120.0,-115.0,-115.0,-118.0,-105.0,-118.0,-105.0,-111.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-03-29 18:31:28,2026-03-29 18:12,4d3b276afc5789fb4a6564eee411bfa9,Toronto Raptors,Orlando Magic,No,1047.4,No,East,Atlantic,East,Southeast,-114.5,-114.33,-2.33,2.33,-121.5,83.67,-116.83,-113.83,229.33,-114,-114,-178,138,-122,-108,-110.0,-120.0,-166.0,130.0,-120.0,-110.0,-117.0,-117.0,-175.0,132.0,-120.0,-117.0,-118.0,-110.0,-175.0,135.0,-118.0,-110.0,-110.0,-120.0,-145.0,110.0,-110.0,-120.0,-118.0,-105.0,110.0,-143.0,-111.0,-118.0,,,,,,,,,,,,,,,,,,
NBA,2026-03-29 18:31:28,2026-03-29 18:12,4ec80843b404f3215ab2cad16ced7f41,Portland Trail Blazers,Washington Wizards,No,2353.5,No,West,Northwest,East,Southeast,-116.33,-114.17,-19.75,19.75,-5800.0,1330.0,-77.33,-119.17,215.42,-118,-112,-5000,1300,-106,-125,-115.0,-115.0,-6500.0,1800.0,-115.0,-115.0,-117.0,-117.0,-5000.0,1100.0,-118.0,-117.0,-115.0,-115.0,-10000.0,1500.0,-110.0,-118.0,-115.0,-115.0,,,-115.0,-115.0,-118.0,-111.0,-2500.0,950.0,100.0,-125.0,,,,,,,,,,,,,,,,,,
NBA,2026-03-29 18:31:28,2026-03-29 19:10,c05251e56d0bd871f5523e30058c7735,New Orleans Pelicans,Houston Rockets,Yes,317.4,Yes,West,Southwest,West,Southwest,-108.56,-110.89,6.06,-6.06,202.33,-247.56,-108.33,-111.22,224.78,-114,-106,205,-250,-108,-112,-102.0,-118.0,205.0,-250.0,-102.0,-118.0,-110.0,-113.0,205.0,-265.0,-113.0,-109.0,-105.0,-115.0,200.0,-250.0,-105.0,-115.0,-110.0,-110.0,205.0,-245.0,-110.0,-110.0,-110.0,-110.0,203.0,-256.0,-110.0,-110.0,-106.0,-106.0,198.0,-232.0,-107.0,-107.0,-110.0,-110.0,195.0,-235.0,-110.0,-110.0,-110.0,-110.0,205.0,-245.0,-110.0,-110.0
NBA,2026-03-29 18:31:28,2026-03-29 19:40,f1fe04fb5d59dc4d3b310d56b74a9f2a,Oklahoma City Thunder,New York Knicks,No,1328.1,Yes,West,Northwest,East,Atlantic,-107.56,-111.0,-8.28,8.28,-363.44,286.0,-109.67,-110.11,223.44,-114,-106,-355,285,-108,-112,-108.0,-112.0,-375.0,295.0,-110.0,-110.0,-108.0,-115.0,-360.0,265.0,-112.0,-112.0,-102.0,-110.0,-375.0,300.0,-110.0,-110.0,-110.0,-110.0,-350.0,275.0,-110.0,-110.0,-110.0,-110.0,-370.0,277.0,-110.0,-110.0,-101.0,-111.0,-366.0,301.0,-107.0,-107.0,-105.0,-115.0,-370.0,296.0,-110.0,-110.0,-110.0,-110.0,-350.0,280.0,-110.0,-110.0
NBA,2026-03-29 18:31:28,2026-03-29 22:10,976eb35602aca3acd738ec2621478695,Denver Nuggets,Golden State Warriors,No,947.0,Yes,West,Northwest,West,Pacific,-109.0,-110.33,-12.5,12.5,-699.22,490.0,-109.44,-110.33,237.0,-108,-112,-670,490,-106,-114,-108.0,-112.0,-650.0,470.0,-115.0,-105.0,-109.0,-113.0,-770.0,480.0,-112.0,-112.0,-110.0,-110.0,-700.0,500.0,-105.0,-115.0,-110.0,-110.0,-750.0,500.0,-110.0,-110.0,-110.0,-110.0,-714.0,473.0,-110.0,-110.0,-106.0,-106.0,-689.0,517.0,-107.0,-107.0,-110.0,-110.0,-700.0,505.0,-110.0,-110.0,-110.0,-110.0,-650.0,475.0,-110.0,-110.0
NBA,2026-03-29 18:31:28,2026-03-30 19:10,2ba4ff0cef51aafdf9c5509533b14091,Miami Heat,Philadelphia 76ers,No,1015.4,Yes,East,Southeast,East,Atlantic,-106.0,-114.0,-1.0,1.0,-110.0,-106.0,-110.0,-110.0,245.5,-106,-114,-110,-106,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-29 18:31:28,2026-03-30 19:40,6faf1f26b1e369d008c889f78e15732b,Atlanta Hawks,Boston Celtics,No,936.8,Yes,East,Southeast,East,Atlantic,-110.0,-110.0,1.0,-1.0,-102.0,-116.0,-110.0,-110.0,222.5,-110,-110,-102,-116,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
