League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2026-03-06 17:29:05,2026-03-06 19:10,ab266816a618acf42cd468f0c03d88df,Boston Celtics,Dallas Mavericks,No,1551.7,Yes,East,Atlantic,West,Southwest,-111.0,-108.44,-14.61,14.61,-1027.11,658.22,-112.22,-107.44,224.94,-115,-105,-1000,660,-115,-105,-110.0,-113.0,-1115.0,650.0,-113.0,-110.0,-112.0,-108.0,-1050.0,675.0,-115.0,-105.0,-109.0,-103.0,-979.0,683.0,-107.0,-107.0,-113.0,-107.0,-1000.0,661.0,-110.0,-110.0,-110.0,-110.0,-1100.0,700.0,-115.0,-105.0,-115.0,-105.0,-1000.0,650.0,-110.0,-110.0,-110.0,-110.0,-1000.0,620.0,-110.0,-110.0,-105.0,-115.0,-1000.0,625.0,-115.0,-105.0
NBA,2026-03-06 17:29:05,2026-03-06 19:10,d30140ada41fcf347a70f0627144f910,Charlotte Hornets,Miami Heat,Yes,651.7,Yes,East,Southeast,East,Southeast,-106.67,-112.78,-7.5,7.5,-290.44,234.67,-109.56,-110.22,229.22,-108,-112,-280,230,-110,-110,-108.0,-115.0,-295.0,225.0,-114.0,-109.0,-108.0,-112.0,-298.0,240.0,-115.0,-105.0,-101.0,-111.0,-287.0,241.0,-102.0,-113.0,-105.0,-115.0,-290.0,237.0,-105.0,-115.0,-105.0,-115.0,-300.0,240.0,-110.0,-110.0,-105.0,-115.0,-290.0,240.0,-110.0,-110.0,-110.0,-110.0,-294.0,229.0,-110.0,-110.0,-110.0,-110.0,-280.0,230.0,-110.0,-110.0
NBA,2026-03-06 17:29:05,2026-03-06 20:10,5bb88919ee7f5580d891b5f0cb5aef6e,Houston Rockets,Portland Trail Blazers,No,1836.0,Yes,West,Southwest,West,Northwest,-111.67,-107.67,-5.89,5.89,-236.11,194.33,-109.89,-109.89,220.61,-110,-110,-240,198,-110,-110,-113.0,-109.0,-250.0,195.0,-112.0,-112.0,-118.0,-102.0,-230.0,190.0,-110.0,-110.0,-106.0,-106.0,-232.0,198.0,-107.0,-107.0,-110.0,-110.0,-235.0,195.0,-110.0,-110.0,-118.0,-102.0,-235.0,195.0,-110.0,-110.0,-110.0,-110.0,-235.0,200.0,-110.0,-110.0,-110.0,-110.0,-238.0,188.0,-110.0,-110.0,-110.0,-110.0,-230.0,190.0,-110.0,-110.0
NBA,2026-03-06 17:29:05,2026-03-06 21:10,30131455f152309d83d6dd4173318b47,Denver Nuggets,New York Knicks,No,1632.6,Yes,West,Northwest,East,Atlantic,-114.11,-83.11,0.94,-0.94,-106.22,-113.56,-110.56,-109.11,229.56,-115,-105,-102,-116,-110,-110,-113.0,-110.0,-108.0,-115.0,-110.0,-113.0,-118.0,-102.0,-108.0,-112.0,-112.0,-108.0,-111.0,-101.0,-103.0,-113.0,-110.0,-104.0,-115.0,-105.0,-105.0,-115.0,-113.0,-107.0,-120.0,100.0,-105.0,-115.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,-115.0,-106.0,-110.0,-110.0,-110.0,-110.0,-105.0,-115.0,-110.0,-110.0
NBA,2026-03-06 17:29:05,2026-03-06 21:10,54eca7bdce16aefb75a9905bac119cbc,Phoenix Suns,New Orleans Pelicans,No,1315.0,Yes,West,Pacific,West,Southwest,-108.11,-111.33,-4.56,4.56,-182.78,153.33,-110.0,-109.67,226.61,-110,-110,-176,148,-110,-110,-108.0,-115.0,-200.0,160.0,-113.0,-110.0,-110.0,-110.0,-180.0,150.0,-110.0,-110.0,-103.0,-109.0,-180.0,158.0,-107.0,-107.0,-107.0,-113.0,-180.0,157.0,-110.0,-110.0,-110.0,-110.0,-185.0,150.0,-110.0,-110.0,-110.0,-110.0,-180.0,155.0,-110.0,-110.0,-110.0,-110.0,-189.0,152.0,-110.0,-110.0,-105.0,-115.0,-175.0,150.0,-110.0,-110.0
NBA,2026-03-06 17:29:05,2026-03-06 21:40,cba1963a5da2997abeeecb331594f3d1,San Antonio Spurs,Los Angeles Clippers,No,1210.8,Yes,West,Southwest,West,Pacific,-110.33,-109.11,-6.89,6.89,-274.56,222.78,-111.67,-108.0,220.94,-108,-112,-260,215,-114,-106,-108.0,-115.0,-265.0,205.0,-114.0,-109.0,-115.0,-105.0,-278.0,225.0,-115.0,-105.0,-105.0,-107.0,-272.0,229.0,-107.0,-107.0,-109.0,-111.0,-275.0,226.0,-110.0,-110.0,-118.0,-102.0,-285.0,225.0,-110.0,-110.0,-110.0,-110.0,-275.0,230.0,-110.0,-110.0,-110.0,-110.0,-286.0,225.0,-110.0,-110.0,-110.0,-110.0,-275.0,225.0,-115.0,-105.0
NBA,2026-03-06 17:29:05,2026-03-06 22:40,84b2ef875ad19e935b2b1dd513de5fb3,Los Angeles Lakers,Indiana Pacers,No,1811.2,Yes,West,Pacific,East,Central,-110.33,-109.0,-9.0,9.0,-414.44,319.33,-108.78,-110.89,235.56,-112,-108,-420,320,-110,-110,-115.0,-107.0,-400.0,300.0,-110.0,-112.0,-118.0,-102.0,-410.0,320.0,-110.0,-110.0,-106.0,-106.0,-400.0,325.0,-103.0,-112.0,-110.0,-110.0,-405.0,320.0,-106.0,-114.0,-102.0,-118.0,-425.0,320.0,-110.0,-110.0,-110.0,-110.0,-405.0,325.0,-110.0,-110.0,-110.0,-110.0,-435.0,324.0,-110.0,-110.0,-110.0,-110.0,-430.0,320.0,-110.0,-110.0
NBA,2026-03-06 17:29:05,2026-03-07 15:10,ad1dc68e34d3d8c8c69f10ea02d1b55a,Minnesota Timberwolves,Orlando Magic,No,1308.4,No,West,Northwest,East,Southeast,-111.0,-110.0,-7.17,7.17,-284.67,228.33,-111.67,-109.33,226.0,-110,-110,-270,220,-112,-108,-113.0,-110.0,-286.0,225.0,-113.0,-110.0,-110.0,-110.0,-298.0,240.0,-110.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-06 17:29:05,2026-03-07 18:10,d2465617bbd58c113358fb2053afcd30,Atlanta Hawks,Philadelphia 76ers,No,663.4,No,East,Southeast,East,Atlantic,-108.5,-113.5,-5.5,5.5,-212.5,173.5,-108.5,-112.5,234.25,-105,-115,-205,172,-105,-115,-112.0,-112.0,-220.0,175.0,-112.0,-110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2026-03-06 17:29:05,2026-03-07 18:10,d504db9034e7831de4702ce8e4a2ece6,Detroit Pistons,Brooklyn Nets,No,484.4,No,East,Central,East,Atlantic,-110.0,-110.0,-14.0,14.0,-770.0,540.0,-110.0,-110.0,214.5,-110,-110,-770,540,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
