League,Timestamp Pulled,Date of Game (ET),Game ID,Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Home Conf,Home Div,Away Conf,Away Div,Avg Home Spread Odds,Avg Away Spread Odds,Avg Home Spread Points,Avg Away Spread Points,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Avg Total Points,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2026-05-15 18:54:02,2026-05-15 19:10,745d265e0d83dac45060b44665d8cbe5,Cleveland Cavaliers,Detroit Pistons,Yes,91.4,Yes,East,Central,East,Central,-108.33,-111.11,-4.22,4.22,-178.44,149.44,-109.0,-110.56,209.61,-106,-114,-180,152,-110,-110,-108,-115,-190,150,-109,-113,-110,-110,-180,150,-110,-110,-110,-110,-165,140,-105,-115,-110,-110,-178,156,-110,-110,-105,-115,-185,150,-110,-110,-106,-106,-170,150,-107,-107,-110,-110,-183,147,-110,-110,-110,-110,-175,150,-110,-110
NBA,2026-05-15 18:54:02,2026-05-15 21:40,1bd4432ce20bc61756180bf2d1c59c91,Minnesota Timberwolves,San Antonio Spurs,No,1109.0,Yes,West,Northwest,West,Southwest,-109.44,-110.0,5.94,-5.94,190.56,-231.56,-109.22,-110.44,218.83,-106,-114,190,-230,-110,-110,-115,-108,190,-245,-113,-110,-118,-102,190,-230,-112,-108,-105,-115,195,-235,-110,-110,-110,-110,189,-225,-108,-112,-105,-115,185,-225,-105,-115,-106,-106,191,-223,-105,-109,-110,-110,195,-246,-110,-110,-110,-110,190,-225,-110,-110
