League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds
NBA,2025-12-02 04:31:49,2025-12-02 19:10,Philadelphia 76ers,Washington Wizards,No,120.7,Yes,-111.22,-108.44,-735.88,511.12,-112.44,-63.0,East,Atlantic,East,Southeast,-114,-106,-750,530,-110,-110,-110.0,-110.0,-769.0,492.0,-110.0,-110.0,-115,-105,-675,490,-108,-112,-115,-110,-715,480,-110,-114,-104.0,-108.0,-708.0,530.0,-116.0,101.0,-108.0,-112.0,-720.0,517.0,-118.0,-102.0,-115.0,-105.0,-750.0,525.0,-110.0,-110.0,-110.0,-110.0,,,-120.0,100.0,-110.0,-110.0,-800.0,525.0,-110.0,-110.0
NBA,2025-12-02 04:31:49,2025-12-02 19:40,Toronto Raptors,Portland Trail Blazers,No,2113.9,Yes,-111.56,-86.0,-208.38,172.75,-109.67,-110.33,East,Atlantic,West,Northwest,-110,-110,-210,176,-106,-114,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-102,-118,-205,170,-105,-115,-117,-109,-210,165,-114,-112,-113.0,101.0,-204.0,179.0,-107.0,-107.0,-117.0,-103.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-115.0,-105.0,,,-110.0,-110.0,-115.0,-105.0,-210.0,175.0,-110.0,-110.0
NBA,2025-12-02 04:31:49,2025-12-02 20:10,Boston Celtics,New York Knicks,Yes,188.4,Yes,-110.44,-109.33,-82.25,-112.12,-110.11,-109.89,East,Atlantic,East,Atlantic,-106,-114,-112,-104,-110,-110,-110.0,-110.0,-115.0,-106.0,-110.0,-110.0,-115,-105,-112,-108,-110,-110,-112,-114,-115,-107,-114,-112,-106.0,-106.0,-101.0,-115.0,-107.0,-107.0,-110.0,-110.0,-103.0,-117.0,-110.0,-110.0,-115.0,-105.0,-105.0,-115.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-110.0,-110.0,105.0,-125.0,-110.0,-110.0
NBA,2025-12-02 04:31:49,2025-12-02 20:10,San Antonio Spurs,Memphis Grizzlies,Yes,628.7,Yes,-111.11,-42.0,-212.5,175.75,-109.22,-110.56,West,Southwest,West,Southwest,-110,-110,-215,180,-106,-114,-110.0,-110.0,-213.0,170.0,-110.0,-110.0,-105,-115,-218,180,-105,-115,-109,-117,-215,170,-110,-114,-116.0,104.0,-204.0,179.0,-107.0,-107.0,-120.0,100.0,-205.0,177.0,-110.0,-110.0,-105.0,-115.0,-210.0,170.0,-115.0,-105.0,-120.0,100.0,,,-110.0,-110.0,-105.0,-115.0,-220.0,180.0,-110.0,-110.0
NBA,2025-12-02 04:31:49,2025-12-02 20:10,New Orleans Pelicans,Minnesota Timberwolves,No,1051.1,Yes,-108.89,-110.89,325.0,-424.38,-109.33,-110.78,West,Southwest,West,Northwest,-112,-108,330,-420,-108,-112,-110.0,-110.0,319.0,-435.0,-110.0,-110.0,-110,-110,340,-440,-115,-105,-114,-112,285,-385,-114,-112,-101.0,-111.0,336.0,-415.0,-102.0,-113.0,-105.0,-115.0,330.0,-420.0,-105.0,-115.0,-118.0,-102.0,340.0,-450.0,-110.0,-110.0,-105.0,-115.0,,,-110.0,-110.0,-105.0,-115.0,320.0,-430.0,-110.0,-110.0
NBA,2025-12-02 04:31:49,2025-12-02 23:10,Golden State Warriors,Oklahoma City Thunder,No,1387.6,Yes,-109.89,-109.89,424.62,-587.5,-110.0,-109.78,West,Pacific,West,Northwest,-114,-106,480,-650,-114,-106,-110.0,-110.0,414.0,-588.0,-110.0,-110.0,-110,-110,410,-550,-105,-115,-114,-112,440,-670,-114,-110,-106.0,-106.0,423.0,-542.0,-107.0,-107.0,-110.0,-110.0,415.0,-550.0,-110.0,-110.0,-110.0,-110.0,425.0,-600.0,-110.0,-110.0,-110.0,-110.0,,,-110.0,-110.0,-105.0,-115.0,390.0,-550.0,-110.0,-110.0
NBA,2025-12-02 04:31:49,2025-12-09 18:00,Orlando Magic,Miami Heat,Yes,203.7,No,-109.67,-111.67,-210.0,172.0,-111.0,-111.0,East,Southeast,East,Southeast,-114,-106,-210,176,-110,-110,,,,,,,-105,-115,-205,170,-110,-110,-110,-114,-215,170,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 04:31:49,2025-12-09 20:30,Toronto Raptors,New York Knicks,Yes,340.9,Yes,-112.67,-109.33,114.0,-136.33,-111.33,-110.67,East,Atlantic,East,Atlantic,-110,-110,120,-142,-110,-110,,,,,,,-115,-105,110,-130,-110,-110,-113,-113,112,-137,-114,-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 04:31:49,2025-12-10 19:30,Oklahoma City Thunder,Phoenix Suns,No,841.9,Yes,-111.0,-111.0,-966.67,621.67,-111.0,-111.0,West,Northwest,West,Pacific,-110,-110,-950,640,-110,-110,,,,,,,-110,-110,-950,625,-110,-110,-113,-113,-1000,600,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2025-12-02 04:31:49,2025-12-10 22:00,Los Angeles Lakers,San Antonio Spurs,No,1208.0,Yes,-111.0,-111.0,-180.67,149.0,-111.0,-111.0,West,Pacific,West,Southwest,-110,-110,-180,152,-110,-110,,,,,,,-110,-110,-180,150,-110,-110,-113,-113,-182,145,-113,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
