League,Timestamp Pulled,Date of Game (ET),Home Team,Away Team,Divisional Matchup,Travel Distance (mi),Prime Time (ET >= 7p),Avg Home Spread Odds,Avg Away Spread Odds,Avg Home H2H Odds,Avg Away H2H Odds,Avg Over Odds,Avg Under Odds,Home Conf,Home Div,Away Conf,Away Div,Home DraftKings Spread Odds,Away DraftKings Spread Odds,Home DraftKings H2H Odds,Away DraftKings H2H Odds,Home DraftKings O/U Odds,Away DraftKings O/U Odds,Home LowVig.ag Spread Odds,Away LowVig.ag Spread Odds,Home LowVig.ag H2H Odds,Away LowVig.ag H2H Odds,Home LowVig.ag O/U Odds,Away LowVig.ag O/U Odds,Home BetOnline.ag Spread Odds,Away BetOnline.ag Spread Odds,Home BetOnline.ag H2H Odds,Away BetOnline.ag H2H Odds,Home BetOnline.ag O/U Odds,Away BetOnline.ag O/U Odds,Home FanDuel Spread Odds,Away FanDuel Spread Odds,Home FanDuel H2H Odds,Away FanDuel H2H Odds,Home FanDuel O/U Odds,Away FanDuel O/U Odds,Home MyBookie.ag Spread Odds,Away MyBookie.ag Spread Odds,Home MyBookie.ag H2H Odds,Away MyBookie.ag H2H Odds,Home MyBookie.ag O/U Odds,Away MyBookie.ag O/U Odds,Home Bovada Spread Odds,Away Bovada Spread Odds,Home Bovada H2H Odds,Away Bovada H2H Odds,Home Bovada O/U Odds,Away Bovada O/U Odds,Home BetMGM Spread Odds,Away BetMGM Spread Odds,Home BetMGM H2H Odds,Away BetMGM H2H Odds,Home BetMGM O/U Odds,Away BetMGM O/U Odds,Home BetRivers Spread Odds,Away BetRivers Spread Odds,Home BetRivers H2H Odds,Away BetRivers H2H Odds,Home BetRivers O/U Odds,Away BetRivers O/U Odds,Home BetUS Spread Odds,Away BetUS Spread Odds,Home BetUS H2H Odds,Away BetUS H2H Odds,Home BetUS O/U Odds,Away BetUS O/U Odds
NBA,2025-11-17 07:51:24,2025-11-17 19:00,Cleveland Cavaliers,Milwaukee Bucks,Yes,336.6,Yes,-109.56,-110.22,-263.11,213.44,-109.56,-110.44,East,Central,East,Central,-110.0,-110.0,-265.0,215.0,-110.0,-110.0,-106.0,-106.0,-253.0,214.0,-107.0,-107.0,-110.0,-110.0,-255.0,211.0,-110.0,-110.0,-108.0,-112.0,-255.0,210.0,-110.0,-110.0,-110.0,-110.0,-270.0,211.0,-110.0,-110.0,-105.0,-115.0,-275.0,225.0,-110.0,-110.0,-110.0,-110.0,-275.0,220.0,-105.0,-115.0,-117,-109,-265,200,-114,-112,-110.0,-110.0,-255.0,215.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 19:00,Detroit Pistons,Indiana Pacers,Yes,240.5,Yes,-108.44,-111.22,-471.11,356.33,-111.22,-108.78,East,Central,East,Central,-105.0,-115.0,-470.0,360.0,-115.0,-105.0,-106.0,-106.0,-455.0,364.0,-107.0,-107.0,-110.0,-110.0,-460.0,358.0,-110.0,-110.0,-110.0,-110.0,-520.0,400.0,-110.0,-110.0,-110.0,-110.0,-455.0,335.0,-110.0,-110.0,-105.0,-115.0,-490.0,355.0,-110.0,-110.0,-105.0,-115.0,-475.0,350.0,-115.0,-105.0,-115,-110,-455,325,-114,-112,-110.0,-110.0,-460.0,360.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 19:10,Philadelphia 76ers,Los Angeles Clippers,No,2401.6,Yes,-108.89,-110.89,-190.78,160.0,-109.67,-110.33,East,Atlantic,West,Pacific,-110.0,-110.0,-192.0,160.0,-110.0,-110.0,-106.0,-106.0,-185.0,162.0,-107.0,-107.0,-110.0,-110.0,-185.0,161.0,-110.0,-110.0,-110.0,-110.0,-188.0,158.0,-112.0,-108.0,-110.0,-110.0,-192.0,155.0,-110.0,-110.0,-105.0,-115.0,-185.0,160.0,-110.0,-110.0,-110.0,-110.0,-190.0,155.0,-105.0,-115.0,-109,-117,-215,170,-113,-113,-110.0,-110.0,-185.0,159.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 19:30,Toronto Raptors,Charlotte Hornets,No,586.0,Yes,-108.0,-111.78,-344.67,273.0,-109.44,-110.44,East,Atlantic,East,Southeast,-105.0,-115.0,-340.0,270.0,-108.0,-112.0,-101.0,-111.0,-342.0,282.0,-107.0,-107.0,-105.0,-115.0,-345.0,278.0,-110.0,-110.0,-114.0,-106.0,-330.0,265.0,-110.0,-110.0,-110.0,-110.0,-345.0,264.0,-110.0,-110.0,-110.0,-110.0,-360.0,280.0,-110.0,-110.0,-105.0,-115.0,-350.0,280.0,-110.0,-110.0,-117,-109,-345,260,-110,-115,-105.0,-115.0,-345.0,278.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 19:30,Miami Heat,New York Knicks,No,1091.4,Yes,-111.89,-107.67,-123.89,103.22,-110.11,-109.78,East,Southeast,East,Atlantic,-115.0,-105.0,-125.0,105.0,-115.0,-105.0,-110.0,-102.0,-123.0,107.0,-107.0,-107.0,-114.0,-106.0,-125.0,105.0,-110.0,-110.0,-114.0,-106.0,-120.0,102.0,-112.0,-108.0,-110.0,-110.0,-122.0,100.0,-110.0,-110.0,-115.0,-105.0,-120.0,100.0,-105.0,-115.0,-105.0,-115.0,-130.0,105.0,-110.0,-110.0,-114,-110,-125,100,-112,-113,-110.0,-110.0,-125.0,105.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 20:00,Minnesota Timberwolves,Dallas Mavericks,No,861.9,Yes,-109.67,-110.11,-972.78,627.11,-109.89,-110.11,West,Northwest,West,Southwest,-105.0,-115.0,-950.0,625.0,-110.0,-110.0,-110.0,-102.0,-931.0,657.0,-107.0,-107.0,-114.0,-106.0,-950.0,637.0,-110.0,-110.0,-110.0,-110.0,-1000.0,660.0,-110.0,-110.0,-110.0,-110.0,-909.0,585.0,-110.0,-110.0,-110.0,-110.0,-850.0,550.0,-110.0,-110.0,-105.0,-115.0,-1100.0,650.0,-110.0,-110.0,-113,-113,-1115,650,-112,-114,-110.0,-110.0,-950.0,630.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 20:10,New Orleans Pelicans,Oklahoma City Thunder,No,575.8,Yes,-110.0,-109.78,969.67,-1978.56,-109.22,-110.67,West,Southwest,West,Northwest,-110.0,-110.0,950.0,-1650.0,-108.0,-112.0,-106.0,-106.0,989.0,-1657.0,-105.0,-109.0,-110.0,-110.0,945.0,-1700.0,-108.0,-112.0,-110.0,-110.0,1100.0,-2200.0,-110.0,-110.0,-110.0,-110.0,893.0,-2000.0,-110.0,-110.0,-110.0,-110.0,900.0,-1900.0,-110.0,-110.0,-110.0,-110.0,1050.0,-2500.0,-110.0,-110.0,-114,-112,950,-2500,-112,-113,-110.0,-110.0,950.0,-1700.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-11-17 21:10,Denver Nuggets,Chicago Bulls,No,918.9,Yes,-108.78,-111.0,-950.78,613.56,-109.89,-110.11,West,Northwest,East,Central,-108.0,-112.0,-900.0,600.0,-110.0,-110.0,-101.0,-111.0,-857.0,616.0,-107.0,-107.0,-105.0,-115.0,-875.0,598.0,-110.0,-110.0,-112.0,-108.0,-1000.0,660.0,-110.0,-110.0,-110.0,-110.0,-1000.0,603.0,-110.0,-110.0,-115.0,-105.0,-950.0,600.0,-110.0,-110.0,-105.0,-115.0,-1100.0,650.0,-110.0,-110.0,-113,-113,-1000,600,-112,-114,-110.0,-110.0,-875.0,595.0,-110.0,-110.0
NBA,2025-11-17 07:51:24,2025-12-25 12:00,New York Knicks,Cleveland Cavaliers,No,404.7,No,-113.0,-113.0,-143.0,117.0,-113.0,-113.0,East,Atlantic,East,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-113,-113,-143,117,-113,-113,,,,,,
NBA,2025-11-17 07:51:24,2025-12-25 17:00,Golden State Warriors,Dallas Mavericks,No,1481.0,No,-114.0,-112.0,-195.0,150.0,-115.0,-110.0,West,Pacific,West,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114,-112,-195,150,-115,-110,,,,,,
