feature,perm_importance,perm_std,shap_mean_abs
market_home_prob,0.015248068330607201,0.0027004958037097643,0.039755003312489635
spread_line,0.013810913023612204,0.0028125740386952336,0.03569793902881801
elo_spread,0.004353933546377764,0.0015754449926107805,0.024691560402005326
elo_diff,0.004183462137623106,0.001473049311878605,0.02216069803629511
elo_home_prob,0.0033350928747365115,0.0015616716686804924,0.02219227679960052
roll_margin_diff,0.002101602033640537,0.0013355680355263588,0.011423295842109915
away_ppg_diff_std,0.0008709892035194345,0.0007282727253012222,0.004759173191242437
away_winpct_std,0.0007688009573709742,0.0003624074570684848,0.002290060686088165
home_roll_pf,0.000465036078530856,0.0005027983250005425,0.0022945052331243853
elo_vs_spread,0.00037582731792416,0.0018373486970246506,0.016479238477864408
away_roll_pf,0.00035681328232732844,0.0005887790690804526,0.005887760827477655
home_roll_total_vs_line,0.00031135531577179963,0.0004825074624218147,0.003370944254848163
total_line,0.0002653641872269463,0.0005239451475136795,0.003883622564880393
home_qb_change,0.00025695796433746756,0.00020998611530875279,0.0008551768621956334
away_rest,0.00021970455914485098,0.00014344197024663663,0.0005449267669429517
market_vig,0.00012631513951826266,8.625203911507046e-05,0.002958996681202963
travel_miles,4.2091792411447224e-05,0.0005409701293041673,0.002054584139272443
away_roll_ats,2.603787660820922e-05,0.0007203710660726485,0.0030976609635827027
away_short_week,1.6463637552011078e-05,5.703571220752815e-06,1.0768444826063978e-05
away_qb_change,9.792713105671869e-06,8.921082960047196e-05,0.0005345834092123592
home_short_week,5.33251136450863e-06,1.9240300951952692e-05,3.3353691822252816e-05
is_neutral,0.0,0.0,0.0
is_playoff,-4.688933994545507e-06,7.083703966374358e-06,1.6983876415792085e-05
home_ppg_diff_std,-4.8827364189985015e-06,0.0005740293659839003,0.004793645695035189
home_off_bye,-1.3903857340924474e-05,1.41191653862441e-05,3.3051008160626044e-05
away_off_bye,-1.4470961702128804e-05,3.151575099157961e-05,4.879279133985283e-05
div_game,-2.153513943556895e-05,0.0001946686656850719,0.0009942510105533779
indoor,-3.0408003825677098e-05,0.00014624434756968583,0.0006360088054006909
temp,-3.3006270656177336e-05,0.0003889896983913605,0.0020444012577879892
is_primetime,-3.7663153018885345e-05,5.8563780350433104e-05,0.0002268639156702556
home_rest,-6.869069050491339e-05,0.00010364001334961398,0.0003518433657429278
away_roll_margin,-7.904743421069949e-05,0.000512223447780269,0.0026062125393932216
home_winpct_std,-7.916568395435197e-05,0.000389603997651444,0.002521706202335943
away_roll_total_vs_line,-0.00011194400742647881,0.0005402625964754748,0.00244797224903671
roll_ats_diff,-0.00011618212878450329,0.0002910419558233333,0.002069804704310482
week,-0.0001486310211274322,0.0005319317693630537,0.0018113697826395406
winpct_diff,-0.00029910472355029196,0.0008558071302898984,0.003487140454134547
away_roll_pa,-0.00034419785797439316,0.0008391356478120645,0.004116774555550279
home_std_margin,-0.0004108447560878803,0.0005415689149580262,0.00317762012194054
rest_diff,-0.0004307011436350705,7.442235989095216e-05,0.0007816572237933855
wind,-0.0007473661793206077,0.0006390335246760541,0.001822371445704249
home_roll_margin,-0.0008591174615366403,0.0006373398129359417,0.007419556611038519
away_std_margin,-0.0009645620652985687,0.0004048280746745917,0.0033535456737994853
home_roll_pa,-0.0010136617157493256,0.0006143071973274221,0.005238986273852987
home_roll_ats,-0.0010336372226816492,0.0005048496032445616,0.0019447838740859922
