feature,perm_importance,perm_std,shap_mean_abs
spread_line,0.028756143935565626,0.005207576225250965,0.31750515635187204
market_home_prob,0.026896577127406153,0.004802228299650917,0.29532001875732183
roll_margin_diff,0.004434123242323729,0.0018219993845100162,0.07770033795069993
home_roll_total_vs_line,0.0031654983706514983,0.0018662730776607117,0.04909557164967573
elo_diff,0.0028738261695579912,0.001863416470035634,0.07883735524260098
total_line,0.002738191370723808,0.0014197494941334378,0.0656728880353993
travel_miles,0.002693966151068061,0.002086768033429249,0.061914306425087634
elo_home_prob,0.0013548854772023832,0.0009580834154849051,0.04069777256184051
week,0.0008399094256550166,0.0007670337460342071,0.018245314058055084
elo_spread,0.0005468431367374293,0.0003739819747955323,0.017783635643548547
away_ppg_diff_std,0.00043752603755967676,0.0020680684819483074,0.04944656814884879
temp,0.00042615901242814,0.001134269665270676,0.033581064008829
home_qb_change,0.0003463023531705911,0.00036449299739646344,0.010726988805631804
away_roll_total_vs_line,0.00033108615538173235,0.0022894056617035335,0.06968532083406324
away_rest,0.00017707808023172955,0.0004228220905256752,0.01156243237940795
home_rest,0.00015101634842149548,0.00026458650507323565,0.0063417850368280545
home_roll_margin,8.024742467754864e-05,0.001773184918786799,0.10912081585744429
is_primetime,5.759738102539824e-05,5.6444889525307535e-05,0.0013370332797704475
home_off_bye,0.0,0.0,0.0
home_short_week,0.0,0.0,0.0
away_short_week,0.0,0.0,0.0
is_neutral,0.0,0.0,0.0
away_off_bye,0.0,0.0,0.0
is_playoff,0.0,0.0,0.0
away_qb_change,-2.3160535249311388e-06,0.0002289348195383929,0.0024734059498871196
away_roll_pa,-0.00010031488413284607,0.0016499164333266894,0.04429077820864842
home_roll_pf,-0.00023881264788406799,0.0005607393407547751,0.0202176658814441
market_vig,-0.00029590491524008613,0.00038625793809140055,0.09296931110107166
away_roll_pf,-0.000314037550470414,0.0013269237445252145,0.04609411403604078
indoor,-0.0003166807358079282,0.00012914344328477176,0.002747147265716676
div_game,-0.00031727344431555784,0.0009636670880420328,0.029131807118276974
home_ppg_diff_std,-0.0005739780112878678,0.002129892572152507,0.05681502148391556
away_winpct_std,-0.0007485088306558918,0.0010890544309145804,0.031179749685140885
away_roll_ats,-0.0007786142883899006,0.0012641236014383453,0.045701649079455335
rest_diff,-0.0009327904410076915,0.0004343601182417644,0.01349281835838127
elo_vs_spread,-0.0010428699465407365,0.0031868871639798998,0.11950686853849428
away_roll_margin,-0.001454251486738889,0.0006794897955437278,0.025141841547279456
home_winpct_std,-0.0016336827292311007,0.0010704929253338858,0.061691519265255644
roll_ats_diff,-0.002153913676470065,0.001568053207214414,0.04558646709459959
home_roll_pa,-0.0022738358602726995,0.001642119061958269,0.04675821252182863
home_std_margin,-0.002546002596983821,0.002540039385675349,0.07738034521529931
winpct_diff,-0.0027250092978521323,0.0015189027312349586,0.051859482638962756
home_roll_ats,-0.0027743175978418464,0.0012590622599886006,0.02945504922096108
wind,-0.003224701829201604,0.0025585693531748224,0.03349426898155137
away_std_margin,-0.005299902502344489,0.0033953279914461644,0.06794032579741098
