season,pfr_id,player
2000,AbraDo00,Donnie Abraham
2000,AdamSa00,Sam Adams
2000,AlexSt00,Stephen Alexander
2000,AlleLa00,Larry Allen
2000,AlstMi00,Mike Alstott
2000,AndeRi00,Richie Anderson
2000,ArmsJe00,Jessie Armstead
2000,ArmsTr00,Trace Armstrong
2000,BailCh00,Champ Bailey
2000,BateMi00,Michael Bates
2000,BennDa20,Darren Bennett
2000,BirkMa00,Matt Birk
2000,BishBl00,Blaine Bishop
2000,BoseTo00,Tony Boselli
2000,BoydSt00,Stephen Boyd
2000,BrooDe00,Derrick Brooks
2000,BrowRu00,Ruben Brown
2000,BrucIs00,Isaac Bruce
2000,CartCr00,Cris Carter
2000,ChriJe00,Jeff Christy
2000,ColeMa00,Marco Coleman
2000,CowaSa00,Sam Cowart
2000,CulpDa00,Daunte Culpepper
2000,DaviSt00,Stephen Davis
2000,DillCo00,Corey Dillon
2000,DougHu00,Hugh Douglas
2000,DunnWa00,Warrick Dunn
2000,ElliLu00,Luther Elliss
2000,FaulMa00,Marshall Faulk
2000,FielMa99,Mark Fields
2000,GannRi00,Rich Gannon
2000,GarcJe00,Jeff Garcia
2000,GarnCh00,Charlie Garner
2000,GeorEd00,Eddie George
2000,GildJa00,Jason Gildon
2000,GlovLa00,La'Roi Glover
2000,GonzTo00,Tony Gonzalez
2000,GrbaEl00,Elvis Grbac
2000,GrieBr00,Brian Griese
2000,GrifRo00,Robert Griffith
2000,HarrMa00,Marvin Harrison
2000,HoltTo00,Torry Holt
2000,HopkBr00,Brad Hopkins
2000,HornJo00,Joe Horn
2000,HowaDe00,Desmond Howard
2000,IzzoLa00,Larry Izzo
2000,JameEd00,Edgerrin James
2000,JohnJo04,Joe Johnson
2000,KearJe00,Jevon Kearse
2000,KennLi00,Lincoln Kennedy
2000,LewiCh00,Chad Lewis
2000,LewiMo00,Mo Lewis
2000,LewiRa00,Ray Lewis
2000,LyncJo00,John Lynch
2000,MadiSa00,Sam Madison
2000,MannPe00,Peyton Manning
2000,MariBr00,Brock Marion
2000,MasoDe00,Derrick Mason
2000,MattBr00,Bruce Matthews
2000,MawaKe00,Kevin Mawae
2000,McDaRa00,Randall McDaniel
2000,McNaDo00,Donovan McNabb
2000,McNaSt00,Steve McNair
2000,MitcKe00,Keith Mitchell
2000,MossRa00,Randy Moss
2000,MoulEr00,Eric Moulds
2000,NaleTo00,Tom Nalen
2000,OgdeJo00,Jonathan Ogden
2000,OwenTe00,Terrell Owens
2000,PaceOr00,Orlando Pace
2000,PlaySc20,Scott Player
2000,PrycTr00,Trevor Pryce
2000,RoafWi00,Willie Roaf
2000,RollSa00,Samari Rolle
2000,RuddTi20,Tim Ruddy
2000,SappWa00,Warren Sapp
2000,SeauJu00,Junior Seau
2000,SharDa00,Darren Sharper
2000,ShieWi00,Will Shields
2000,SmitJi00,Jimmy Smith
2000,SmitRo00,Robert Smith
2000,SmitRo01,Rod Smith
2000,StonRo00,Ron Stone
2000,StriKo00,Korey Stringer
2000,TaylJa03,Jason Taylor
2000,ThomZa01,Zach Thomas
2000,TrotJe00,Jeremiah Trotter
2000,UrlaBr00,Brian Urlacher
2000,VincTr00,Troy Vincent
2000,WarnKu00,Kurt Warner
2000,WashTe01,Ted Washington
2000,WisnSt00,Steve Wisniewski
2000,WoodCh00,Charles Woodson
2000,WoodRo01,Rod Woodson
2000,WychFr00,Frank Wycheck
2000,gramamar01,Martin Gramatica
2000,stovemat01,Matt Stover
2001,AbraJo00,John Abraham
2001,AdamSa00,Sam Adams
2001,AlleLa00,Larry Allen
2001,AlstMi00,Mike Alstott
2001,ArmsJe00,Jessie Armstead
2001,ArriLa00,LaVar Arrington
2001,BailCh00,Champ Bailey
2001,BarbRo00,Ronde Barber
2001,BellKe20,Kendrell Bell
2001,BettJe00,Jerome Bettis
2001,BirkMa00,Matt Birk
2001,BostDa00,David Boston
2001,BradTo00,Tom Brady
2001,BrooDe00,Derrick Brooks
2001,BrooKe00,Keith Brooking
2001,BrowRa00,Ray Brown
2001,BrowRu00,Ruben Brown
2001,BrowTi00,Tim Brown
2001,BrowTr00,Troy Brown
2001,BrucIs00,Isaac Bruce
2001,CarsDw00,Dwayne Carswell
2001,CentLa00,Larry Centers
2001,ChamBy00,Byron Chamberlain
2001,CoakDe00,Dexter Coakley
2001,DawkBr00,Brian Dawkins
2001,DilgKe00,Ken Dilger
2001,DillCo00,Corey Dillon
2001,DougHu00,Hugh Douglas
2001,FaneAl00,Alan Faneca
2001,FaulMa00,Marshall Faulk
2001,FavrBr00,Brett Favre
2001,FranBu00,Bubba Franks
2001,GannRi00,Rich Gannon
2001,GarcJe00,Jeff Garcia
2001,GildJa00,Jason Gildon
2001,GlovLa00,La'Roi Glover
2001,GoldIa00,Ian Gold
2001,GonzTo00,Tony Gonzalez
2001,GreeAh00,Ahman Green
2001,HarrMa00,Marvin Harrison
2001,HarrRo01,Rodney Harrison
2001,HearGa00,Garrison Hearst
2001,HolmPr00,Priest Holmes
2001,HoltTo00,Torry Holt
2001,HornJo00,Joe Horn
2001,JohnKe00,Keyshawn Johnson
2001,JoneWa00,Walter Jones
2001,KearJe00,Jevon Kearse
2001,KennLi00,Lincoln Kennedy
2001,KnigSa00,Sammy Knight
2001,KreuOl00,Olin Kreutz
2001,LawxTy00,Ty Law
2001,LechSh20,Shane Lechler
2001,LewiCh00,Chad Lewis
2001,LewiJe00,Jermaine Lewis
2001,LewiRa00,Ray Lewis
2001,LyncJo00,John Lynch
2001,MadiSa00,Sam Madison
2001,MartCu00,Curtis Martin
2001,MattBr00,Bruce Matthews
2001,MawaKe00,Kevin Mawae
2001,McNaDo00,Donovan McNabb
2001,McNeRy20,Ryan McNeil
2001,MillJa01,Jamir Miller
2001,MillLa00,Lawyer Milloy
2001,NewbJe00,Jeremy Newberry
2001,ONeaDe00,Deltha O'Neal
2001,OgdeJo00,Jonathan Ogden
2001,OwenTe00,Terrell Owens
2001,PaceOr00,Orlando Pace
2001,PorcRo00,Robert Porcher
2001,PrycTr00,Trevor Pryce
2001,RandJo00,John Randle
2001,SamuCh00,Chris Samuels
2001,SappWa00,Warren Sapp
2001,SaueTo20,Todd Sauerbrun
2001,SeauJu00,Junior Seau
2001,SharSh00,Shannon Sharpe
2001,ShieWi00,Will Shields
2001,SmitJi00,Jimmy Smith
2001,SmitRo01,Rod Smith
2001,SmitSt01,Steve Smith Sr.
2001,StewKo00,Kordell Stewart
2001,StonRo00,Ron Stone
2001,StraMi02,Michael Strahan
2001,ThomTr00,Tra Thomas
2001,ThomZa01,Zach Thomas
2001,TimmAd20,Adam Timmerman
2001,TrotJe00,Jeremiah Trotter
2001,UrlaBr00,Brian Urlacher
2001,VincTr00,Troy Vincent
2001,WalkGa00,Gary Walker
2001,WallWe00,Wesley Walls
2001,WardHi00,Hines Ward
2001,WarnKu00,Kurt Warner
2001,WashTe01,Ted Washington
2001,WhigLa00,Larry Whigham
2001,WileMa00,Marcellus Wiley
2001,WillAe00,Aeneas Williams
2001,WillJa03,James Williams
2001,WilsAl00,Al Wilson
2001,WoodCh00,Charles Woodson
2001,WoodRo01,Rod Woodson
2001,YounBr00,Bryant Young
2001,akersdav01,David Akers
2001,elamxjas01,Jason Elam
2002,AbraJo00,John Abraham
2002,AlstMi00,Mike Alstott
2002,ArriLa00,LaVar Arrington
2002,BailCh00,Champ Bailey
