feature,perm_importance,perm_std,shap_mean_abs
elo_diff,0.333546358559836,0.08422663004753111,1.8713179993968896
roll_margin_diff,0.14000635431430358,0.03069060206592408,0.8528589711981596
elo_home_prob,0.0966789947106367,0.05067524064730734,1.1727552992457424
away_ppg_diff_std,0.09353743653352584,0.03433808689867489,0.8468816838313729
home_ppg_diff_std,0.07125271220795,0.04418902596008219,0.9107279368265591
travel_miles,0.05886632735166621,0.01980575885788059,0.298639150612844
allpro_score_diff,0.04604927421427281,0.017363784779139368,0.39665879697192147
home_roll_margin,0.045463088437644926,0.028583277291381506,0.6409133430119539
away_roll_pf,0.04038896389215037,0.02026096985669463,0.45380075430901984
away_pct_drafted,0.03599654845600888,0.016683985759918092,0.23522662031827923
away_roll_margin,0.03399782156713691,0.022040741879390383,0.3103929641367952
n_top2_rounders_diff,0.032400472598323835,0.018826042540149995,0.3387301186580792
away_winpct_std,0.032220305322378094,0.030238843753761277,0.4123558919963094
n_probowlers_diff,0.03149517760631628,0.011309845661655932,0.2830090117435164
away_roll_total_vs_line,0.03014362169778213,0.03096270115456985,0.345581876468628
away_std_margin,0.026135664237603252,0.023158614390493572,0.32729666955324627
week,0.024818023056654325,0.01626896604821424,0.24067777083353475
away_rest,0.01997330456008175,0.008779684096803565,0.10589215891196273
home_pct_drafted,0.019443247626281312,0.013616714182212176,0.2054011459815613
home_qb_change,0.017335782787782073,0.012326612286361689,0.1851021637376082
qb_epa_prior_diff,0.01607835872431824,0.029204169539428806,0.24235693762533037
away_qb_change,0.01603662343926775,0.026429455093039195,0.2903465121396752
elo_spread,0.015931580249262466,0.009422962306952946,0.28314330816133687
div_game,0.015297381034754665,0.011876800434940273,0.20847847177900564
away_roll_ats,0.014750700412602135,0.02024986963434096,0.4249646111102317
home_roll_pf,0.010614104893001653,0.010055854674014309,0.1622733459369892
roll_ats_diff,0.009610746846811225,0.033313624388918,0.35402277606312
away_roll_pa,0.007257185192237792,0.015194691061674637,0.41877046662102085
rest_diff,0.004003695143433461,0.006663306891429425,0.10733243947176878
home_roll_pa,0.002879650607178519,0.022986024918608978,0.36359024726220407
home_rest,0.0028660888599464584,0.0014707617828103113,0.018635933085253104
away_qb_epa_prior,0.0013395646481676239,0.009358800753720269,0.350178647019557
away_qb_quality_drop,0.0010153652894867803,0.0033296697645497555,0.064084150082704
indoor,0.0006881957836926134,0.0027020683963724897,0.017574037543793414
away_off_bye,0.0004880786945843596,0.0010937907638357521,0.0046330850546903125
is_neutral,0.0,0.0,0.0
away_is_interim_coach,0.0,0.0,0.0037635985876681567
home_is_interim_coach,0.0,0.0,0.006638310743985777
away_short_week,0.0,0.0,0.0
home_short_week,0.0,0.0,0.0
home_off_bye,0.0,0.0,0.0
is_playoff,-0.0003299136590674934,0.000367933952715141,0.0032286574838317553
home_roll_total_vs_line,-0.0003311865690347915,0.01408375028050965,0.23342577622168062
n_top100_diff,-0.0009044864166313004,0.02021094943800279,0.24466804900408323
home_winpct_std,-0.0016461674440886754,0.018577273865676154,0.2964734335485381
is_primetime,-0.003650010235323009,0.0016822956235785277,0.017487064277487217
n_first_rounders_diff,-0.003926718318556332,0.011092266877511987,0.18503272341101468
home_qb_quality_drop,-0.006627128759948242,0.01025883369375114,0.10989190423820501
temp,-0.00686232472906898,0.013859505948450783,0.166660329627508
wind,-0.0090207099205049,0.014251406394424113,0.12093926329548313
home_std_margin,-0.009244792158005666,0.02100693854222278,0.33090314505279034
home_roll_ats,-0.011423174936982328,0.02072541578311833,0.33023276132191187
home_qb_epa_prior,-0.02089008410532429,0.027535419506355754,0.3654003267200555
winpct_diff,-0.027986074905778757,0.018989500187585707,0.28109161904473673
