feature,perm_importance,perm_std,shap_mean_abs
roll_margin_diff,0.412394436272851,0.04887468071576241,1.896343117112138
away_roll_pf,0.2081036843111365,0.04470029229686573,1.241640178314022
away_roll_total_vs_line,0.1401818870275692,0.048781905926950496,1.1516461385522851
elo_diff,0.08699214449428147,0.0441073857532306,0.9748815206747297
elo_spread,0.08699214449426691,0.044107385753227014,0.9748815206746505
away_ppg_diff_std,0.08076077018730406,0.016595852261787128,0.6907055780702133
winpct_diff,0.06503889067690612,0.026873410791835712,0.7576184801446579
home_roll_ats,0.06397946900568244,0.030545924043394634,0.7249583704787353
home_ppg_diff_std,0.05218813854385829,0.03634209605866622,0.7924453515032222
away_qb_change,0.036328886755807054,0.029840958275387165,0.4816983088740947
away_roll_pa,0.03174884010313157,0.022577477582554805,0.8439937778329972
away_roll_ats,0.024770117731475593,0.028195742261943046,0.7727292323559362
elo_home_prob,0.02091819804097561,0.02413887291286357,0.5167768748411693
away_roll_margin,0.019840911711618503,0.009288669773830537,0.2623453404138021
roll_ats_diff,0.017992278044918562,0.023002976910997716,0.5751700463931578
div_game,0.01682015893238802,0.012739048967474867,0.42265430959515654
away_rest,0.015085888277991445,0.0189155452921463,0.23642090615249947
away_std_margin,0.014510495300904935,0.014357485122930287,0.3595251207909515
home_qb_change,0.012886916951466886,0.01860707575139891,0.32052123144650035
home_qb_quality_drop,0.012321004524182477,0.019769634485420524,0.11479125560239356
home_roll_pa,0.009624165479235457,0.01543985115988377,0.34299383483368606
home_roll_margin,0.008582466760096708,0.013448357876908543,0.3897518710107987
travel_miles,0.008016279850839858,0.007063137270145167,0.2437488835812652
away_pct_drafted,0.007924257628375208,0.00548665457762807,0.26047098518570255
home_pct_drafted,0.007779892095082097,0.005631044119292686,0.10692443986678579
rest_diff,0.006086179914402301,0.013696016105048676,0.1799780226264413
n_probowlers_diff,0.0046318949655749005,0.008329005311521455,0.16019272458368056
wind,0.0027036978481621786,0.0013086873351939852,0.04812030458260016
away_qb_quality_drop,0.001945260885518607,0.0026376796966043345,0.02477090071504197
n_top100_diff,0.0015310310118570314,0.008058115821990902,0.13177386564900623
home_roll_total_vs_line,0.0012112798742215602,0.008862692531997852,0.14197279792755962
week,0.0011409244992671929,0.014596068954653197,0.25689927869988033
home_off_bye,0.0009036676648529251,0.004239150135052236,0.03895161744101237
away_qb_epa_prior,0.0004022891517777794,0.0006374866617037886,0.020044434066709676
home_is_interim_coach,0.0,0.0,0.04174807453254937
away_is_interim_coach,0.0,0.0,1.252970606630867e-16
temp,-5.2461572608564214e-05,0.0002284887752046941,0.004890884010993856
away_off_bye,-0.00023839994805676667,0.01257066961030625,0.12266259887026121
home_rest,-0.00036346535133979785,0.0016057651526091175,0.02619546070155151
home_std_margin,-0.0003914858924419562,0.00997084989382859,0.23638975326981643
home_qb_epa_prior,-0.0005515774275245633,0.0010601847769298807,0.016043852030662147
is_primetime,-0.0005874650363548283,0.000372030511274554,0.007702182320129153
away_short_week,-0.000672659809109355,0.0021709545395460494,0.03910505012539176
home_roll_pf,-0.0008676443776321818,0.006197437143367836,0.2033078798207229
n_top2_rounders_diff,-0.0011412215724821094,0.009525028739001278,0.1805511317337629
home_short_week,-0.00121428100198262,0.0022446850066631086,0.03848218575358863
qb_epa_prior_diff,-0.0016715734737239528,0.007465491619024093,0.12030681228222129
is_playoff,-0.0029012455945748527,0.005389118372857901,0.06073452613378304
allpro_score_diff,-0.0038165223177095697,0.008555133893493596,0.1753812063329094
away_winpct_std,-0.005129731187697573,0.00702980606013836,0.1730815991692275
home_winpct_std,-0.006940665659027267,0.008339001049655577,0.21447352225306857
n_first_rounders_diff,-0.009892252532386615,0.00877767610068412,0.21841670959764742
indoor,-0.015620474548402008,0.009118217451401947,0.208919460490047
is_neutral,-0.028905382712755313,0.007908240535458055,0.07955324440123995
