feature,perm_importance,perm_std,shap_mean_abs
elo_home_prob,0.20056645136411788,0.06500189697993441,1.1546288081436518
elo_diff,0.13229842514387968,0.04920354512483458,0.8471124508014676
elo_spread,0.12106963952102134,0.04570365349377213,0.8104423732388469
roll_margin_diff,0.03700922267970874,0.016195449733501854,0.4510074622011473
away_roll_pf,0.019605537634325643,0.007313336933807049,0.20396046644647817
home_qb_change,0.014238132777000345,0.016250833081524783,0.2143937683701914
week,0.0132953159423991,0.006541828554965365,0.09801791750050484
div_game,0.009273516867765962,0.009048158743672019,0.11725180153197026
away_qb_change,0.008085256435461652,0.023392392985818303,0.25340539420305114
is_primetime,0.006750309119670561,0.005456590399728305,0.03836671940006352
away_std_margin,0.005492569759421783,0.004940442360890881,0.05696800491105538
away_off_bye,0.0048911336092823275,0.0029420033617482515,0.02309405342407748
away_roll_margin,0.004858548258771478,0.00711250050092669,0.14910168086290965
travel_miles,0.004733631448907438,0.002274398664680489,0.03151584298725309
away_rest,0.004477157511344742,0.0019058571015101887,0.029670294065151127
away_roll_total_vs_line,0.004437273277368092,0.003514797086494964,0.028990749238191952
away_ppg_diff_std,0.004142125122792351,0.0061632691687960916,0.15562468753269698
home_roll_pf,0.0023485810693037123,0.005631840291179847,0.16902843708997814
home_roll_total_vs_line,0.0023465276181687143,0.0016626434975394982,0.031327511891433804
away_roll_pa,0.002261911521574156,0.0017048853878572797,0.03272886503963366
away_winpct_std,0.0014181096921976888,0.004706850307251971,0.15788329360369668
home_roll_pa,0.0012058193087252534,0.007803498146665046,0.12792889093685317
home_ppg_diff_std,0.0010815616754788592,0.006747646843766081,0.18201183719195227
home_off_bye,0.0009238226238526437,0.0007420716030109853,0.010203392015747607
home_roll_margin,0.000882351586481711,0.012697446054679304,0.30986155012839495
home_short_week,0.0007631235920310786,0.0012479121538003137,0.010402912077056523
away_roll_ats,0.0005647890630077867,0.003318752393805159,0.032704944521466245
temp,0.0004937686033008148,0.0018669229744708304,0.03316484596387355
home_std_margin,-0.00035592059822615597,0.0028816354942108225,0.04873458615091345
is_playoff,-0.000462651001167913,0.0021552090319299153,0.028902933879113548
away_short_week,-0.0010742757768738898,0.0006788016731813602,0.007710742510947181
is_neutral,-0.0013902040347204547,0.0009451864835636375,0.005726925977855243
home_rest,-0.0024233281703846645,0.001239180926986922,0.015079465192000228
rest_diff,-0.002649814426390762,0.002158075051567145,0.01895797509659175
indoor,-0.0029126620074894304,0.006008307986160791,0.06070525114678425
wind,-0.003771726994390967,0.0019009641401758132,0.021643977633568845
roll_ats_diff,-0.004074006059391166,0.003183365860986097,0.045562011682729435
winpct_diff,-0.004813619563461558,0.007921354346232786,0.2484055769799845
home_roll_ats,-0.005986435231800158,0.0037155553535456183,0.05282645875327867
home_winpct_std,-0.006484457632854479,0.012541343260758774,0.2681640287778035
