side,spread_size,games,avg_margin_vs_spread,se,z,fav_cover_pct
home favourite,0-3,610,-0.856,0.5,-1.71,0.4475
away favourite,3.5-7,439,-0.985,0.599,-1.65,0.4966
away favourite,7.5-10,112,-0.402,1.085,-0.37,0.4018
home favourite,3.5-7,763,0.082,0.451,0.18,0.464
home favourite,7.5-10,288,0.214,0.758,0.28,0.4514
away favourite,10.5+,64,1.031,1.777,0.58,0.4844
home favourite,10.5+,226,1.319,0.825,1.6,0.5442
away favourite,0-3,526,1.237,0.598,2.07,0.4829
