line,n,mae,rmse,r2,bias
closing spread (Vegas),3028,9.807,12.721,0.193,0.046
model (sees market),3028,9.903,12.773,0.1863,-0.236
model (blind to market),3028,10.064,12.968,0.1613,-0.386
always 0 (pick'em),3028,11.123,14.287,-0.018,1.898
